,Unnamed: 0_x,Dates_x,open,high,low,close,volume,times,days,Unnamed: 0_y,Dates_y,Open,Close,High,Low,Value,Volume
56004,0,2018/7/20 10:47,266.94,266.94,266.92,266.92,6080,1532054820,0,56004,2018/7/20 10:47,266.78,266.77,266.78,266.77,41084060,154000
56005,1,2018/7/20 10:48,266.94,266.94,266.92,266.92,1960,1532054880,0,56005,2018/7/20 10:48,266.77,266.78,266.78,266.77,27745080,104000
56006,2,2018/7/20 10:49,266.94,266.94,266.92,266.94,3480,1532054940,0,56006,2018/7/20 10:49,266.78,266.78,266.78,266.78,2667800,10000
56007,3,2018/7/20 10:50,266.92,266.94,266.92,266.94,7426,1532055000,0,56007,2018/7/20 10:50,266.79,266.77,266.79,266.77,29878580,112000
56008,4,2018/7/20 10:51,266.94,266.95,266.94,266.95,1014,1532055060,0,56008,2018/7/20 10:51,266.79,266.79,266.79,266.79,6402960,24000
56009,5,2018/7/20 10:52,266.92,266.94,266.92,266.94,3300,1532055120,0,56009,2018/7/20 10:52,266.78,266.77,266.78,266.77,11204379,42000
56010,6,2018/7/20 10:53,266.94,266.95,266.94,266.94,24358,1532055180,0,56010,2018/7/20 10:53,266.77,266.75,266.77,266.75,19740380,74000
56011,7,2018/7/20 10:54,266.94,266.94,266.92,266.94,18680,1532055240,0,56011,2018/7/20 10:54,266.76,266.76,266.77,266.76,14938920,56000
56012,8,2018/7/20 10:55,266.94,266.94,266.94,266.94,10274,1532055300,0,56012,2018/7/20 10:55,266.77,266.77,266.79,266.76,61893140,232000
56013,9,2018/7/20 10:56,266.94,266.94,266.92,266.94,24870,1532055360,0,56013,2018/7/20 10:56,266.76,266.76,266.76,266.76,5868720,22000
56014,10,2018/7/20 10:57,266.94,266.94,266.94,266.94,18616,1532055420,0,56014,2018/7/20 10:57,266.76,266.77,266.77,266.76,3201200,12000
56015,11,2018/7/20 10:58,266.94,266.94,266.94,266.94,4128,1532055480,0,56015,2018/7/20 10:58,266.78,266.77,266.78,266.77,1600660,6000
56016,12,2018/7/20 10:59,266.94,266.94,266.92,266.92,10272,1532055540,0,56016,2018/7/20 10:59,266.77,266.77,266.77,266.77,533540,2000
56017,13,2018/7/20 11:00,266.92,266.94,266.92,266.94,10250,1532055600,0,56017,2018/7/20 11:00,266.77,266.77,266.77,266.77,7469559.5,28000
56018,14,2018/7/20 11:01,266.94,266.94,266.93,266.94,6922,1532055660,0,56018,2018/7/20 11:01,266.77,266.78,266.78,266.77,18673980,70000
56019,15,2018/7/20 11:02,266.93,266.94,266.93,266.94,2400,1532055720,0,56019,2018/7/20 11:02,266.78,266.78,266.78,266.78,4268480,16000
56020,16,2018/7/20 11:03,266.94,266.94,266.94,266.94,20,1532055780,0,56020,2018/7/20 11:03,266.78,266.78,266.78,266.78,5869160,22000
56021,17,2018/7/20 11:04,266.92,266.94,266.92,266.92,2060,1532055840,0,56021,2018/7/20 11:04,266.78,266.79,266.79,266.78,2134260,8000
56022,18,2018/7/20 11:05,266.92,266.94,266.9,266.92,8634,1532055900,0,56022,2018/7/20 11:05,266.78,266.78,266.79,266.78,23476680,88000
56023,20,2018/7/20 11:07,266.9,266.9,266.9,266.9,1000,1532056020,0,56023,2018/7/20 11:07,266.79,266.78,266.79,266.78,30947500,116000
56024,22,2018/7/20 11:09,266.9,266.92,266.9,266.92,420,1532056140,0,56024,2018/7/20 11:09,266.78,266.78,266.78,266.78,1600680,6000
56025,23,2018/7/20 11:10,266.9,266.9,266.9,266.9,60,1532056200,0,56025,2018/7/20 11:10,266.79,266.78,266.79,266.78,26144740,98000
56026,24,2018/7/20 11:11,266.92,266.92,266.92,266.92,4442,1532056260,0,56026,2018/7/20 11:11,266.78,266.79,266.79,266.78,8003640,30000
56027,26,2018/7/20 11:13,266.93,266.93,266.92,266.93,4482,1532056380,0,56027,2018/7/20 11:13,266.79,266.79,266.79,266.79,9070860,34000
56028,27,2018/7/20 11:14,266.94,266.95,266.92,266.92,10800,1532056440,0,56028,2018/7/20 11:14,266.8,266.79,266.8,266.79,12272440,46000
56029,28,2018/7/20 11:15,266.94,266.94,266.92,266.94,2636,1532056500,0,56029,2018/7/20 11:15,266.79,266.8,266.8,266.79,7470140,28000
56030,29,2018/7/20 11:16,266.92,266.92,266.9,266.9,10080,1532056560,0,56030,2018/7/20 11:16,266.79,266.79,266.79,266.79,533580,2000
56032,30,2018/7/20 11:19,266.9,266.9,266.9,266.9,5236,1532056740,0,56032,2018/7/20 11:19,266.79,266.78,266.79,266.78,8003680,30000
56034,31,2018/7/20 11:21,266.9,266.9,266.9,266.9,6200,1532056860,0,56034,2018/7/20 11:21,266.78,266.79,266.79,266.78,12272300,46000
56036,33,2018/7/20 11:24,266.9,266.9,266.85,266.85,5084,1532057040,0,56036,2018/7/20 11:24,266.78,266.78,266.79,266.78,9070540,34000
56038,34,2018/7/20 11:26,266.85,266.85,266.85,266.85,5158,1532057160,0,56038,2018/7/20 11:26,266.8,266.78,266.8,266.78,5335959.5,20000
56039,35,2018/7/20 11:27,266.9,266.92,266.9,266.92,9934,1532057220,0,56039,2018/7/20 11:27,266.79,266.79,266.79,266.79,15473820,58000
56040,36,2018/7/20 11:28,266.98,266.98,266.98,266.98,1582,1532057280,0,56040,2018/7/20 11:28,266.8,266.79,266.8,266.79,6936720,26000
56042,37,2018/7/20 13:30,266.98,266.98,266.9,266.9,1204,1532064600,0,56042,2018/7/20 13:30,266.9,266.89,266.9,266.87,458532032,1718000
56043,38,2018/7/20 13:31,266.95,266.95,266.95,266.95,6542,1532064660,0,56043,2018/7/20 13:31,266.9,266.89,266.9,266.87,37899540,142000
56044,39,2018/7/20 13:32,266.95,266.95,266.95,266.95,2100,1532064720,0,56044,2018/7/20 13:32,266.82,266.92,266.92,266.82,22419840,84000
56045,40,2018/7/20 13:33,266.95,266.95,266.95,266.95,4000,1532064780,0,56045,2018/7/20 13:33,266.9,266.93,266.93,266.9,27226400,102000
56046,41,2018/7/20 13:34,266.95,266.95,266.92,266.92,2040,1532064840,0,56046,2018/7/20 13:34,266.93,266.95,266.95,266.92,36836700,138000
56047,42,2018/7/20 13:35,266.98,266.98,266.98,266.98,200,1532064900,0,56047,2018/7/20 13:35,266.94,266.95,266.95,266.92,33633960,126000
56048,43,2018/7/20 13:36,266.95,267,266.95,267,10482,1532064960,0,56048,2018/7/20 13:36,266.94,266.95,266.96,266.94,72610256,272000
56049,44,2018/7/20 13:37,267,267.01,267,267.01,4042,1532065020,0,56049,2018/7/20 13:37,266.96,266.92,266.96,266.92,44312064,166000
56050,45,2018/7/20 13:38,267.05,267.05,267.05,267.05,6080,1532065080,0,56050,2018/7/20 13:38,266.86,266.82,266.86,266.82,5336560,20000
56051,46,2018/7/20 13:39,267,267,267,267,11960,1532065140,0,56051,2018/7/20 13:39,266.88,266.83,266.88,266.83,31486640,118000
56052,47,2018/7/20 13:40,267,267,267,267,1580,1532065200,0,56052,2018/7/20 13:40,266.82,266.85,266.85,266.82,10672920,40000
56053,48,2018/7/20 13:41,267,267,267,267,780,1532065260,0,56053,2018/7/20 13:41,266.9,266.9,266.9,266.9,62988400,236000
56054,49,2018/7/20 13:42,267,267.04,267,267.04,15380,1532065320,0,56054,2018/7/20 13:42,266.86,266.86,266.88,266.86,33624596,126000
56055,50,2018/7/20 13:43,267.04,267.04,267,267.04,13724,1532065380,0,56055,2018/7/20 13:43,266.86,266.87,266.88,266.85,11208220,42000
56056,51,2018/7/20 13:44,267.01,267.01,267.01,267.01,60,1532065440,0,56056,2018/7/20 13:44,266.87,266.87,266.88,266.87,5871280,22000
56057,52,2018/7/20 13:45,267.01,267.01,267.01,267.01,60,1532065500,0,56057,2018/7/20 13:45,266.87,266.88,266.88,266.87,1067500,4000
56058,53,2018/7/20 13:46,267,267,267,267,19186,1532065560,0,56058,2018/7/20 13:46,266.88,266.88,266.88,266.88,31491840,118000
56059,54,2018/7/20 13:47,267,267,267,267,1000,1532065620,0,56059,2018/7/20 13:47,266.87,266.88,266.88,266.87,21349800,80000
56061,55,2018/7/20 13:49,267,267.03,266.96,266.96,1824,1532065740,0,56061,2018/7/20 13:49,266.89,266.87,266.89,266.87,12810601,48000
56062,56,2018/7/20 13:50,266.96,266.96,266.96,266.96,0,1532065800,0,56062,2018/7/20 13:50,266.87,266.87,266.87,266.87,1067480,4000
56063,57,2018/7/20 13:51,267.03,267.03,267.03,267.03,3000,1532065860,0,56063,2018/7/20 13:51,266.86,266.86,266.86,266.86,24551118,92000
56064,58,2018/7/20 13:52,266.96,267.03,266.96,267.03,2726,1532065920,0,56064,2018/7/20 13:52,266.86,266.85,266.86,266.85,31489438,118000
56065,59,2018/7/20 13:53,267.03,267.04,267.03,267.04,3934,1532065980,0,56065,2018/7/20 13:53,266.86,266.87,266.87,266.85,32557298,122000
56066,60,2018/7/20 13:54,267.04,267.04,267.04,267.04,42,1532066040,0,56066,2018/7/20 13:54,266.88,266.89,266.89,266.88,20283302,76000
