,Unnamed: 0_x,Dates_x,open,high,low,close,volume,times,days,Unnamed: 0_y,Dates_y,Open,Close,High,Low,Value,Volume
64135,4758,2018/8/13 15:27,267.7,267.7,267.6,267.6,4492,1534145220,0,64135,2018/8/13 15:27,267.58,267.46,267.6,267.46,223142352,834000
64136,4759,2018/8/13 15:28,267.6,267.8,267.6,267.72,4802,1534145280,0,64136,2018/8/13 15:28,267.48,267.52,267.55,267.45,25144340,94000
64137,4760,2018/8/13 15:29,267.72,267.72,267.7,267.7,2154,1534145340,0,64137,2018/8/13 15:29,267.55,267.54,267.55,267.51,34780400,130000
64138,4761,2018/8/13 15:30,267.72,267.72,267.72,267.72,0,1534145400,0,64138,2018/8/13 15:30,267.55,267.55,267.55,267.54,3745660,14000
64141,4762,2018/8/13 20:00,267.72,267.72,267.72,267.72,2,1534161600,0,64141,2018/8/13 20:00,266.58,266.52,266.6,266.1,393207168,1476000
64142,4763,2018/8/13 20:01,267.45,267.45,267.45,267.45,1424,1534161660,0,64142,2018/8/13 20:01,266.58,266.75,266.76,266.56,143999376,540000
64144,4764,2018/8/13 20:03,267.29,267.29,267,267,28,1534161780,0,64144,2018/8/13 20:03,266.7,266.75,266.79,266.66,128039560,480000
64145,4765,2018/8/13 20:04,267,267,267,267,10,1534161840,0,64145,2018/8/13 20:04,266.8,266.83,266.84,266.77,113126272,424000
64146,4766,2018/8/13 20:05,267,267,267,267,8,1534161900,0,64146,2018/8/13 20:05,266.83,266.8,266.88,266.79,92848040,348000
64149,4767,2018/8/13 20:08,267.02,267.02,267.02,267.02,20,1534162080,0,64149,2018/8/13 20:08,266.93,266.84,266.93,266.83,127027664,476000
64151,4768,2018/8/13 20:10,267.02,267.02,267.02,267.02,4,1534162200,0,64151,2018/8/13 20:10,266.8,266.78,266.84,266.78,32550240,122000
64152,4769,2018/8/13 20:11,267,267,267,267,80,1534162260,0,64152,2018/8/13 20:11,266.79,266.8,266.8,266.76,56557740,212000
64153,4770,2018/8/13 20:12,267,267,267,267,10,1534162320,0,64153,2018/8/13 20:12,266.79,266.78,266.81,266.77,56025640,210000
