Dates,Open,Close,High,Low,Volume
2018/2/22 8:59,271.35,271.35,271.35,271.35,32000
2018/2/22 9:00,271.5,271.5,271.65,271.42,614000
2018/2/22 9:01,271.54,271.04,271.54,271.03,422000
2018/2/22 9:02,271.12,271.21,271.3,271.08,226000
2018/2/22 9:03,271.24,271.1,271.24,271.03,236000
2018/2/22 9:04,271.06,270.9,271.06,270.83,296000
2018/2/22 9:05,270.87,270.88,271,270.85,200000
2018/2/22 9:06,270.88,270.78,270.9,270.78,268000
2018/2/22 9:07,270.78,270.82,270.85,270.71,74000
2018/2/22 9:08,270.82,270.89,270.89,270.82,74000
2018/2/22 9:09,270.86,270.8,270.86,270.76,80000
2018/2/22 9:10,270.85,270.87,270.88,270.8,106000
2018/2/22 9:11,270.88,270.85,270.9,270.85,160000
2018/2/22 9:12,270.89,270.89,270.9,270.88,266000
2018/2/22 9:13,270.89,270.94,270.94,270.89,132000
2018/2/22 9:14,270.9,270.95,270.95,270.9,240000
2018/2/22 9:15,270.95,270.95,270.95,270.94,86000
2018/2/22 9:16,270.95,270.88,270.95,270.88,314000
2018/2/22 9:17,270.88,270.85,270.88,270.85,116000
2018/2/22 9:18,270.85,270.9,270.9,270.85,224000
2018/2/22 9:19,270.91,270.9,270.91,270.9,122000
2018/2/22 9:20,270.9,270.95,270.95,270.9,54000
2018/2/22 9:21,270.98,271,271,270.98,288000
2018/2/22 9:22,271,271.01,271.01,270.98,668000
2018/2/22 9:23,271.03,271,271.03,271,182000
2018/2/22 9:24,271.02,271.01,271.03,271,118000
2018/2/22 9:25,271.01,271.04,271.04,271.01,20000
2018/2/22 9:26,271.04,271.06,271.06,271.04,82000
2018/2/22 9:27,271.09,271.06,271.09,271.06,60000
2018/2/22 9:28,271.06,271.11,271.11,271.01,456000
2018/2/22 9:29,271.11,271.22,271.22,271.11,138000
2018/2/22 9:30,271.2,271.2,271.24,271.19,60000
2018/2/22 9:31,271.2,271.19,271.24,271.19,134000
2018/2/22 9:32,271.19,271.2,271.24,271.19,74000
2018/2/22 9:33,271.2,271.2,271.2,271.2,238000
2018/2/22 9:34,271.21,271.26,271.26,271.21,66000
2018/2/22 9:35,271.32,271.3,271.4,271.3,38000
2018/2/22 9:36,271.3,271.23,271.32,271.22,150000
2018/2/22 9:37,271.24,271.25,271.27,271.24,88000
2018/2/22 9:38,271.25,271.25,271.26,271.21,306000
2018/2/22 9:39,271.25,271.25,271.25,271.25,132000
2018/2/22 9:40,271.25,271.33,271.33,271.25,148000
2018/2/22 9:41,271.35,271.38,271.38,271.3,200000
2018/2/22 9:42,271.4,271.45,271.45,271.4,82000
2018/2/22 9:43,271.45,271.43,271.45,271.43,10000
2018/2/22 9:44,271.37,271.41,271.41,271.37,18000
2018/2/22 9:45,271.37,271.36,271.37,271.35,82000
2018/2/22 9:46,271.36,271.36,271.4,271.36,308000
2018/2/22 9:47,271.3,271.3,271.3,271.3,120000
2018/2/22 9:48,271.32,271.3,271.32,271.3,260000
2018/2/22 9:49,271.3,271.29,271.3,271.29,142000
2018/2/22 9:50,271.29,271.22,271.29,271.22,288000
2018/2/22 9:51,271.22,271.22,271.22,271.2,156000
2018/2/22 9:52,271.22,271.29,271.29,271.22,166000
2018/2/22 9:53,271.29,271.3,271.32,271.29,120000
2018/2/22 9:54,271.26,271.25,271.26,271.25,122000
