a,b,c,d,e,f,g
8,22,271.35,271.35,271.35,271.35,32000
9,22,271.5,271.5,271.65,271.42,614000
9,22,271.54,271.04,271.54,271.03,422000
9,22,271.12,271.21,271.3,271.08,226000
9,22,271.24,271.1,271.24,271.03,236000
9,22,271.06,270.9,271.06,270.83,296000
9,22,270.87,270.88,271,270.85,200000
9,22,270.88,270.78,270.9,270.78,268000
9,22,270.78,270.82,270.85,270.71,74000
9,22,270.82,270.89,270.89,270.82,74000
9,22,270.86,270.8,270.86,270.76,80000
9,22,270.85,270.87,270.88,270.8,106000
9,22,270.88,270.85,270.9,270.85,160000
9,22,270.89,270.89,270.9,270.88,266000
9,22,270.89,270.94,270.94,270.89,132000
9,22,270.9,270.95,270.95,270.9,240000
9,22,270.95,270.95,270.95,270.94,86000
9,22,270.95,270.88,270.95,270.88,314000
9,22,270.88,270.85,270.88,270.85,116000
9,22,270.85,270.9,270.9,270.85,224000
9,22,270.91,270.9,270.91,270.9,122000
9,22,270.9,270.95,270.95,270.9,54000
9,22,270.98,271,271,270.98,288000
9,22,271,271.01,271.01,270.98,668000
9,22,271.03,271,271.03,271,182000
9,22,271.02,271.01,271.03,271,118000
9,22,271.01,271.04,271.04,271.01,20000
9,22,271.04,271.06,271.06,271.04,82000
9,22,271.09,271.06,271.09,271.06,60000
9,22,271.06,271.11,271.11,271.01,456000
9,22,271.11,271.22,271.22,271.11,138000
9,22,271.2,271.2,271.24,271.19,60000
9,22,271.2,271.19,271.24,271.19,134000
9,22,271.19,271.2,271.24,271.19,74000
9,22,271.2,271.2,271.2,271.2,238000
9,22,271.21,271.26,271.26,271.21,66000
9,22,271.32,271.3,271.4,271.3,38000
9,22,271.3,271.23,271.32,271.22,150000
9,22,271.24,271.25,271.27,271.24,88000
9,22,271.25,271.25,271.26,271.21,306000
9,22,271.25,271.25,271.25,271.25,132000
9,22,271.25,271.33,271.33,271.25,148000
9,22,271.35,271.38,271.38,271.3,200000
9,22,271.4,271.45,271.45,271.4,82000
9,22,271.45,271.43,271.45,271.43,10000
9,22,271.37,271.41,271.41,271.37,18000
9,22,271.37,271.36,271.37,271.35,82000
9,22,271.36,271.36,271.4,271.36,308000
9,22,271.3,271.3,271.3,271.3,120000
9,22,271.32,271.3,271.32,271.3,260000
9,22,271.3,271.29,271.3,271.29,142000
9,22,271.29,271.22,271.29,271.22,288000
9,22,271.22,271.22,271.22,271.2,156000
9,22,271.22,271.29,271.29,271.22,166000
9,22,271.29,271.3,271.32,271.29,120000
9,22,271.26,271.25,271.26,271.25,122000
9,22,271.2,271.15,271.2,271.15,76000
9,22,271.2,271.2,271.2,271.2,90000
9,22,271.24,271.24,271.24,271.18,50000
9,22,271.23,271.2,271.23,271.2,64000
10,22,271.2,271.2,271.2,271.2,112000
10,22,271.21,271.23,271.24,271.21,152000
10,22,271.25,271.25,271.25,271.23,84000
10,22,271.25,271.26,271.29,271.25,34000
10,22,271.26,271.3,271.3,271.26,68000
10,22,271.29,271.26,271.29,271.26,170000
10,22,271.25,271.25,271.25,271.2,138000
10,22,271.24,271.25,271.25,271.22,140000
10,22,271.25,271.26,271.26,271.25,42000
10,22,271.26,271.25,271.28,271.25,60000
10,22,271.25,271.25,271.27,271.25,56000
10,22,271.25,271.25,271.28,271.25,78000
10,22,271.29,271.3,271.3,271.26,136000
10,22,271.3,271.3,271.3,271.3,194000
10,22,271.3,271.3,271.31,271.3,40000
10,22,271.3,271.29,271.3,271.29,98000
10,22,271.3,271.3,271.32,271.3,46000
10,22,271.3,271.27,271.3,271.27,174000
10,22,271.26,271.25,271.26,271.25,164000
10,22,271.25,271.25,271.25,271.25,114000
10,22,271.26,271.25,271.26,271.25,122000
10,22,271.25,271.25,271.25,271.25,100000
10,22,271.29,271.29,271.29,271.29,222000
10,22,271.29,271.29,271.3,271.29,122000
