Dates,Open,Close,High,Low,Value,Volume
2018/7/30 20:03,268.65,268.65,268.65,268.65,537300,2000
2018/7/30 20:04,268.65,268.7,268.7,268.65,13432900,50000
2018/7/30 20:05,268.65,268.65,268.65,268.65,5910300,22000
2018/7/30 20:06,268.65,268.65,268.65,268.65,537300,2000
2018/7/30 20:07,268.68,268.66,268.68,268.66,1074680,4000
2018/7/30 20:08,268.65,268.7,268.7,268.65,9672540,36000
2018/7/30 20:09,268.67,268.66,268.67,268.66,1612000,6000
2018/7/30 20:10,268.66,268.68,268.68,268.65,14507460,54000
2018/7/30 20:11,268.67,268.67,268.67,268.67,2686700,10000
2018/7/30 20:12,268.67,268.66,268.67,268.66,1612000,6000
2018/7/30 20:13,268.65,268.67,268.67,268.65,3223880,12000
2018/7/30 20:16,268.65,268.61,268.65,268.61,9133640,34000
2018/7/30 20:17,268.51,268.51,268.51,268.51,1611060,6000
2018/7/30 20:18,268.54,268.5,268.54,268.5,9129380,34000
2018/7/30 20:19,268.5,268.5,268.5,268.49,6980900,26000
2018/7/30 20:21,268.5,268.5,268.5,268.5,5370000,20000
2018/7/30 20:22,268.45,268.45,268.45,268.45,536900,2000
2018/7/30 20:24,268.5,268.5,268.5,268.5,2148000,8000
2018/7/30 20:25,268.5,268.5,268.5,268.5,1074000,4000
2018/7/30 20:28,268.55,268.59,268.59,268.54,4833860,18000
2018/7/30 20:30,268.54,268.49,268.58,268.49,2685280,10000
2018/7/30 20:31,268.57,268.57,268.57,268.57,1074280,4000
2018/7/30 20:36,268.55,268.55,268.55,268.55,2148400,8000
2018/7/30 20:37,268.57,268.6,268.6,268.57,3222960,12000
2018/7/30 20:38,268.57,268.57,268.57,268.57,537140,2000
2018/7/30 20:39,268.62,268.61,268.62,268.61,1074460,4000
2018/7/30 20:41,268.58,268.58,268.58,268.58,537160,2000
2018/7/30 20:43,268.64,268.65,268.65,268.64,3223740,12000
2018/7/30 20:45,268.64,268.64,268.65,268.64,5372920,20000
2018/7/30 20:46,268.65,268.65,268.65,268.65,15581700,58000
2018/7/30 20:47,268.61,268.61,268.61,268.61,11281619,42000
2018/7/30 20:48,268.6,268.6,268.6,268.6,10744000,40000
2018/7/30 20:49,268.6,268.6,268.6,268.6,2686000,10000
2018/7/30 20:50,268.55,268.58,268.58,268.55,4297220,16000
2018/7/30 20:52,268.58,268.58,268.58,268.58,9668880,36000
2018/7/30 20:54,268.64,268.64,268.64,268.64,1611840.13,6000
2018/7/30 20:55,268.6,268.7,268.7,268.6,27404200,102000
2018/7/30 20:56,268.59,268.59,268.59,268.59,18801300,70000
2018/7/30 20:58,268.7,268.7,268.7,268.7,68249808,254000
2018/7/30 20:59,268.68,268.7,268.7,268.68,3224360,12000
2018/7/30 21:00,268.71,268.67,268.71,268.67,1612180,6000
2018/7/30 21:01,268.71,268.71,268.71,268.71,8061300,30000
2018/7/30 21:02,268.71,268.71,268.71,268.71,8061300,30000
2018/7/30 21:03,268.68,268.68,268.68,268.68,1612080,6000
2018/7/30 21:04,268.68,268.68,268.69,268.68,3761540,14000
2018/7/30 21:05,268.68,268.68,268.68,268.68,1074720,4000
2018/7/30 21:06,268.6,268.6,268.6,268.6,537200,2000
2018/7/30 21:07,268.69,268.69,268.69,268.69,537380,2000
2018/7/30 21:08,268.63,268.63,268.63,268.63,10745200,40000
2018/7/30 21:09,268.68,268.68,268.68,268.68,3224160,12000
2018/7/30 21:11,268.67,268.69,268.69,268.67,17733120,66000
2018/7/30 21:12,268.7,268.7,268.7,268.69,83295200,310000
2018/7/30 21:13,268.69,268.69,268.7,268.67,95113680,354000
2018/7/30 21:14,268.68,268.7,268.7,268.67,113919520,424000
2018/7/30 21:15,268.69,268.7,268.7,268.69,87594440,326000
2018/7/30 21:16,268.69,268.7,268.73,268.69,131126384,488000
2018/7/30 21:17,268.7,268.69,268.7,268.69,12359940,46000
2018/7/30 21:18,268.6,268.72,268.72,268.6,15581200,58000
2018/7/30 21:22,268.72,268.65,268.72,268.65,5910440,22000
2018/7/30 21:23,268.7,268.7,268.7,268.7,537400,2000
2018/7/30 21:24,268.72,268.7,268.72,268.7,1612240,6000
2018/7/30 21:25,268.72,268.72,268.72,268.72,1074880,4000
2018/7/30 21:26,268.7,268.7,268.7,268.7,9673200,36000
2018/7/30 21:28,268.7,268.7,268.7,268.7,2687000,10000
2018/7/30 21:30,268.55,268.55,268.55,268.55,2148400,8000
2018/7/30 21:32,268.67,268.67,268.67,268.67,537340,2000
2018/7/30 21:34,268.68,268.68,268.68,268.68,3224160,12000
2018/7/30 21:35,268.68,268.68,268.68,268.68,537360,2000
2018/7/30 21:36,268.7,268.71,268.71,268.68,32782160,122000
