hours,days,open,high,low,close,volume
10,20,266.94,266.94,266.92,266.92,6080
10,20,266.94,266.94,266.92,266.92,1960
10,20,266.94,266.94,266.92,266.94,3480
10,20,266.92,266.94,266.92,266.94,7426
10,20,266.94,266.95,266.94,266.95,1014
10,20,266.92,266.94,266.92,266.94,3300
10,20,266.94,266.95,266.94,266.94,24358
10,20,266.94,266.94,266.92,266.94,18680
10,20,266.94,266.94,266.94,266.94,10274
10,20,266.94,266.94,266.92,266.94,24870
10,20,266.94,266.94,266.94,266.94,18616
10,20,266.94,266.94,266.94,266.94,4128
10,20,266.94,266.94,266.92,266.92,10272
11,20,266.92,266.94,266.92,266.94,10250
11,20,266.94,266.94,266.93,266.94,6922
11,20,266.93,266.94,266.93,266.94,2400
11,20,266.94,266.94,266.94,266.94,20
11,20,266.92,266.94,266.92,266.92,2060
11,20,266.92,266.94,266.9,266.92,8634
11,20,266.92,266.92,266.92,266.92,400
11,20,266.9,266.9,266.9,266.9,1000
11,20,266.92,266.92,266.92,266.92,3400
11,20,266.9,266.92,266.9,266.92,420
11,20,266.9,266.9,266.9,266.9,60
11,20,266.92,266.92,266.92,266.92,4442
11,20,266.92,266.92,266.92,266.92,600
11,20,266.93,266.93,266.92,266.93,4482
11,20,266.94,266.95,266.92,266.92,10800
11,20,266.94,266.94,266.92,266.94,2636
11,20,266.92,266.92,266.9,266.9,10080
11,20,266.9,266.9,266.9,266.9,5236
11,20,266.9,266.9,266.9,266.9,6200
11,20,266.9,266.9,266.9,266.9,2760
11,20,266.9,266.9,266.85,266.85,5084
11,20,266.85,266.85,266.85,266.85,5158
11,20,266.9,266.92,266.9,266.92,9934
11,20,266.98,266.98,266.98,266.98,1582
13,20,266.98,266.98,266.9,266.9,1204
13,20,266.95,266.95,266.95,266.95,6542
13,20,266.95,266.95,266.95,266.95,2100
13,20,266.95,266.95,266.95,266.95,4000
13,20,266.95,266.95,266.92,266.92,2040
13,20,266.98,266.98,266.98,266.98,200
13,20,266.95,267,266.95,267,10482
13,20,267,267.01,267,267.01,4042
13,20,267.05,267.05,267.05,267.05,6080
13,20,267,267,267,267,11960
13,20,267,267,267,267,1580
13,20,267,267,267,267,780
13,20,267,267.04,267,267.04,15380
13,20,267.04,267.04,267,267.04,13724
13,20,267.01,267.01,267.01,267.01,60
13,20,267.01,267.01,267.01,267.01,60
13,20,267,267,267,267,19186
13,20,267,267,267,267,1000
13,20,267,267.03,266.96,266.96,1824
13,20,266.96,266.96,266.96,266.96,0
13,20,267.03,267.03,267.03,267.03,3000
13,20,266.96,267.03,266.96,267.03,2726
13,20,267.03,267.04,267.03,267.04,3934
13,20,267.04,267.04,267.04,267.04,42
13,20,267,267,267,267,4000
13,20,267,267.01,267,267.01,26
13,20,267.03,267.04,267.03,267.03,1460
13,20,267.04,267.04,267.04,267.04,74
13,20,267.04,267.04,267.03,267.04,6808
14,20,267.04,267.05,267.04,267.05,14668
14,20,267.05,267.05,267.05,267.05,980
14,20,267.05,267.05,267.04,267.05,45456
14,20,267.05,267.05,267,267,14000
14,20,267,267,267,267,3418
14,20,267,267,267,267,14600
14,20,266.96,267,266.96,267,2104
14,20,267,267,267,267,8932
14,20,267,267,267,267,3998
14,20,266.96,266.96,266.96,266.96,2906
14,20,266.96,266.96,266.96,266.96,100
14,20,266.95,266.95,266.95,266.95,1996
14,20,266.99,266.99,266.99,266.99,200
14,20,266.99,266.99,266.99,266.99,600
14,20,266.99,267,266.99,267,7034
14,20,267,267,267,267,304
14,20,267,267,267,267,11462
14,20,266.96,266.96,266.9,266.9,11960
14,20,266.95,266.96,266.95,266.96,8056
14,20,266.96,266.96,266.9,266.95,25340
14,20,266.91,266.91,266.91,266.91,6
14,20,266.91,266.91,266.9,266.9,20000
14,20,266.91,266.91,266.9,266.9,15012
14,20,266.9,266.9,266.9,266.9,16800
14,20,266.9,266.94,266.9,266.94,13606
14,20,266.92,266.94,266.92,266.92,9864
14,20,266.94,266.94,266.94,266.94,5600
14,20,266.94,266.94,266.94,266.94,1228
14,20,266.94,266.94,266.92,266.92,16190
14,20,266.92,266.92,266.88,266.88,17518
14,20,266.9,266.9,266.85,266.85,12000
14,20,266.9,266.92,266.9,266.92,8360
14,20,266.92,266.92,266.92,266.92,190
14,20,266.92,266.92,266.92,266.92,174
14,20,266.92,266.92,266.9,266.9,3300
14,20,266.85,266.9,266.85,266.9,14900
14,20,266.9,266.9,266.85,266.9,11192
14,20,266.9,266.9,266.9,266.9,6806
14,20,266.9,266.9,266.9,266.9,6400
14,20,266.9,266.9,266.86,266.86,874
