Wind,AU(T+D).SGE,AU(T+D).SGE,AU(T+D).SGE,AU(T+D).SGE,AU(T+D).SGE
,SGE黄金T+D,SGE黄金T+D,SGE黄金T+D,SGE黄金T+D,SGE黄金T+D
日期,开盘价,最高价,最低价,收盘价,成交量
2012-07-23,324.4000 ,325.2000 ,323.7900 ,323.8800 ,"11,376.0000 "
2012-07-24,323.0000 ,324.7000 ,323.0000 ,324.2900 ,"15,668.0000 "
2012-07-25,325.1900 ,326.7900 ,323.6200 ,326.2000 ,"20,594.0000 "
2012-07-26,328.0000 ,330.0000 ,327.2100 ,329.4900 ,"28,826.0000 "
2012-07-27,331.0000 ,331.8500 ,329.8000 ,331.6100 ,"21,000.0000 "
2012-07-30,332.8800 ,332.8800 ,331.5000 ,331.8600 ,"12,372.0000 "
2012-07-31,331.3000 ,332.9900 ,331.3000 ,332.2300 ,"16,438.0000 "
2012-08-01,332.7000 ,332.9900 ,330.3100 ,331.5400 ,"12,814.0000 "
2012-08-02,329.3100 ,330.3000 ,327.9000 ,329.3100 ,"15,856.0000 "
2012-08-03,328.8500 ,328.8500 ,326.5200 ,326.9000 ,"25,552.0000 "
2012-08-06,329.4800 ,330.1900 ,329.1500 ,329.7000 ,"10,788.0000 "
2012-08-07,330.3000 ,331.2500 ,329.8000 ,331.0500 ,"11,468.0000 "
2012-08-08,331.4900 ,331.4900 ,329.2500 ,329.3000 ,"8,872.0000 "
2012-08-09,329.7000 ,331.5000 ,329.5400 ,330.8900 ,"11,732.0000 "
2012-08-10,330.3800 ,331.4000 ,329.7000 ,329.9100 ,"9,350.0000 "
2012-08-13,331.2000 ,332.6000 ,331.2000 ,332.6000 ,"9,818.0000 "
2012-08-14,331.2700 ,332.3900 ,330.0100 ,331.1800 ,"9,650.0000 "
2012-08-15,328.5000 ,329.3000 ,328.0000 ,328.0900 ,"16,586.0000 "
2012-08-16,328.7000 ,329.6000 ,328.5000 ,329.0600 ,"9,948.0000 "
2012-08-17,329.8800 ,331.8800 ,329.0600 ,331.7800 ,"15,666.0000 "
2012-08-20,330.8200 ,331.9900 ,330.8200 ,331.6700 ,"4,894.0000 "
2012-08-21,331.0000 ,332.5500 ,330.5000 ,332.5000 ,"15,422.0000 "
2012-08-22,334.8000 ,335.8000 ,334.6500 ,335.7900 ,"24,348.0000 "
2012-08-23,335.5000 ,340.7000 ,335.0000 ,340.6000 ,"28,840.0000 "
2012-08-24,340.0100 ,342.5000 ,339.9000 ,340.2200 ,"21,246.0000 "
2012-08-27,342.1000 ,343.9700 ,342.1000 ,342.1400 ,"11,102.0000 "
2012-08-28,341.2000 ,342.5000 ,339.0100 ,340.0900 ,"9,882.0000 "
2012-08-29,340.1500 ,342.0000 ,340.1500 ,340.7500 ,"8,436.0000 "
2012-08-30,341.3000 ,341.3000 ,338.6200 ,339.2200 ,"10,240.0000 "
2012-08-31,340.6000 ,340.6000 ,338.1700 ,339.3000 ,"11,000.0000 "
2012-09-03,345.1900 ,345.7900 ,344.8000 ,345.0100 ,"17,772.0000 "
2012-09-04,345.7500 ,346.3000 ,345.0100 ,346.0500 ,"15,976.0000 "
2012-09-05,345.3000 ,346.8000 ,345.0100 ,345.9500 ,"14,596.0000 "
2012-09-06,346.3500 ,348.5000 ,345.4000 ,348.3100 ,"22,808.0000 "
2012-09-07,348.0000 ,348.7900 ,344.8100 ,345.8500 ,"19,110.0000 "
2012-09-10,354.8000 ,354.8800 ,353.0200 ,353.6300 ,"16,530.0000 "
2012-09-11,353.0000 ,353.9000 ,352.7500 ,353.0900 ,"11,444.0000 "
2012-09-12,354.0300 ,354.6000 ,353.4000 ,353.8600 ,"15,400.0000 "
2012-09-13,354.2100 ,354.6400 ,351.8000 ,352.5000 ,"15,090.0000 "
2012-09-14,352.8800 ,361.4500 ,350.6000 ,360.2900 ,"35,324.0000 "
