hour,o,h,l,c,v,pin,cdfpin,diff
5,271.49,271.59,271.6,271.58,520000,0.591719227,0.992743106,0.09
5,271.58,271.59,271.59,271.55,480000,0.550817844,0.965166909,-0.03
5,271.58,271.6,271.59,271.56,524000,0.506855276,0.915820029,-0.02
5,271.6,271.65,271.6,271.65,714000,0.48583694,0.883889695,0.05
5,271.65,271.63,271.61,271.59,348000,0.48099661,0.876632801,-0.06
5,271.61,271.65,271.65,271.59,368000,0.459794234,0.825834543,-0.02
5,271.59,271.6,271.59,271.58,376000,0.435864295,0.788098694,-0.01
5,271.6,271.6,271.59,271.58,416000,0.416569692,0.750362845,-0.02
5,271.59,271.62,271.59,271.58,322000,0.399328436,0.698113208,-0.01
5,271.62,271.6,271.59,271.57,350000,0.396112241,0.686502177,-0.05
5,271.57,271.57,271.54,271.45,514000,0.418817611,0.757619739,-0.12
5,271.45,271.5,271.47,271.45,436000,0.393771896,0.673439768,0
5,271.45,271.4,271.45,271.4,452000,0.390490205,0.65892598,-0.05
5,271.54,271.5,271.5,271.46,440000,0.39759226,0.690856313,-0.08
5,271.5,271.53,271.53,271.46,364000,0.391837728,0.666182874,-0.04
5,271.52,271.53,271.5,271.47,330000,0.389496141,0.653120464,-0.05
5,271.46,271.45,271.46,271.41,408000,0.386879162,0.64586357,-0.05
5,271.45,271.5,271.5,271.5,362000,0.384615263,0.632801161,0.05
5,271.5,271.54,271.5,271.47,432000,0.375515248,0.603773585,-0.03
5,271.47,271.49,271.49,271.48,352000,0.362748102,0.542815675,0.01
5,271.49,271.49,271.49,271.47,382000,0.352608799,0.502177068,-0.02
5,271.49,271.49,271.44,271.44,464000,0.351476107,0.499274311,-0.05
5,271.45,271.46,271.45,271.45,502000,0.331870964,0.410740203,0
5,271.45,271.5,271.45,271.44,632000,0.314014036,0.322206096,-0.01
5,271.45,271.45,271.4,271.39,394000,0.316669197,0.335268505,-0.06
5,271.39,271.41,271.38,271.38,340000,0.307079054,0.28011611,-0.01
5,271.42,271.42,271.42,271.4,362000,0.299807905,0.242380261,-0.02
5,271.43,271.45,271.45,271.45,358000,0.292789667,0.214804064,0.02
5,271.48,271.48,271.45,271.45,376000,0.288292586,0.194484761,-0.03
5,271.44,271.52,271.46,271.5,358000,0.291031238,0.20754717,0.06
5,271.52,271.59,271.46,271.55,362000,0.286653655,0.188679245,0.03
5,271.54,271.55,271.53,271.55,420000,0.276160687,0.159651669,0.01
5,271.55,271.6,271.51,271.52,670000,0.270343064,0.148040639,-0.03
5,271.58,271.6,271.55,271.57,416000,0.260651357,0.123367199,-0.01
5,271.6,271.65,271.6,271.61,342000,0.252455976,0.104499274,0.01
5,271.62,271.61,271.56,271.6,318000,0.246874096,0.08563135,-0.02
5,271.6,271.63,271.62,271.63,326000,0.243395182,0.081277213,0.03
5,271.63,271.66,271.63,271.63,390000,0.231793738,0.052249637,0
5,271.67,271.65,271.6,271.58,578000,0.24807941,0.092888244,-0.09
5,271.67,271.7,271.65,271.69,344000,0.242148421,0.076923077,0.02
5,271.69,271.69,271.69,271.65,326000,0.240665347,0.065312046,-0.04
5,271.65,271.65,271.65,271.64,322000,0.233149367,0.053701016,-0.01
5,271.64,271.75,271.64,271.65,674000,0.220944319,0.043541364,0.01
