,Unnamed: 0_x,Dates_x,Open_x,Close_x,High_x,Low_x,Value_x,Volume_x,times,Unnamed: 0_y,Dates_y,Open_y,Close_y,High_y,Low_y,Value_y,Volume_y
10206,25785,2018/3/19 19:59,1309.84,1310.06,1310.15,1309.84,0,0,1521460740,10206,2018/3/19 19:59,268.21,268.21,268.21,268.21,536420,2000
10207,25786,2018/3/19 20:00,1310.05,1310.98,1311.31,1310.04,0,0,1521460800,10207,2018/3/19 20:00,268.4,268.5,268.55,268.32,82168856,306000
10208,25787,2018/3/19 20:01,1310.96,1311.82,1311.86,1310.69,0,0,1521460860,10208,2018/3/19 20:01,268.55,268.55,268.55,268.48,87007136,324000
10209,25788,2018/3/19 20:02,1311.82,1311.27,1311.84,1311.18,0,0,1521460920,10209,2018/3/19 20:02,268.53,268.53,268.56,268.5,12351980,46000
10210,25789,2018/3/19 20:03,1311.27,1311.65,1311.65,1311.05,0,0,1521460980,10210,2018/3/19 20:03,268.5,268.51,268.58,268.5,49408760,184000
10211,25790,2018/3/19 20:04,1311.65,1311.66,1311.95,1311.45,0,0,1521461040,10211,2018/3/19 20:04,268.55,268.66,268.66,268.51,30619820,114000
10212,25791,2018/3/19 20:05,1311.66,1312.05,1312.2,1311.59,0,0,1521461100,10212,2018/3/19 20:05,268.66,268.63,268.69,268.6,36002780,134000
10213,25792,2018/3/19 20:06,1312.05,1312.05,1312.06,1311.74,0,0,1521461160,10213,2018/3/19 20:06,268.69,268.67,268.69,268.65,10209180,38000
10214,25793,2018/3/19 20:07,1312.06,1311.97,1312.06,1311.86,0,0,1521461220,10214,2018/3/19 20:07,268.66,268.65,268.67,268.65,12358240,46000
10215,25794,2018/3/19 20:08,1311.97,1312.08,1312.09,1311.87,0,0,1521461280,10215,2018/3/19 20:08,268.65,268.66,268.67,268.65,6447960,24000
10216,25795,2018/3/19 20:09,1312.08,1311.69,1312.08,1311.58,0,0,1521461340,10216,2018/3/19 20:09,268.66,268.66,268.66,268.6,39759740,148000
10217,25796,2018/3/19 20:10,1311.69,1311.6,1311.88,1311.58,0,0,1521461400,10217,2018/3/19 20:10,268.58,268.56,268.58,268.55,19336080,72000
10218,25797,2018/3/19 20:11,1311.6,1311.85,1311.86,1311.59,0,0,1521461460,10218,2018/3/19 20:11,268.58,268.54,268.58,268.54,32763540,122000
10219,25798,2018/3/19 20:12,1311.85,1311.87,1311.89,1311.77,0,0,1521461520,10219,2018/3/19 20:12,268.54,268.53,268.54,268.51,6444540,24000
10220,25799,2018/3/19 20:13,1311.87,1312.46,1312.56,1311.87,0,0,1521461580,10220,2018/3/19 20:13,268.54,268.6,268.6,268.52,26856620,100000
10221,25800,2018/3/19 20:14,1312.46,1312.76,1312.83,1312.46,0,0,1521461640,10221,2018/3/19 20:14,268.6,268.61,268.61,268.57,25248180,94000
10222,25801,2018/3/19 20:15,1312.76,1312.96,1313.06,1312.76,0,0,1521461700,10222,2018/3/19 20:15,268.57,268.6,268.64,268.57,9670500,36000
10223,25802,2018/3/19 20:16,1312.96,1313.15,1313.25,1312.78,0,0,1521461760,10223,2018/3/19 20:16,268.6,268.68,268.69,268.6,73073080,272000
10224,25803,2018/3/19 20:17,1313.14,1312.56,1313.15,1312.54,0,0,1521461820,10224,2018/3/19 20:17,268.65,268.68,268.69,268.65,47288260,176000
10225,25804,2018/3/19 20:18,1312.56,1312.15,1312.56,1312.14,0,0,1521461880,10225,2018/3/19 20:18,268.68,268.65,268.68,268.65,13433460,50000
10226,25805,2018/3/19 20:19,1312.15,1312.75,1312.75,1312.15,0,0,1521461940,10226,2018/3/19 20:19,268.65,268.65,268.69,268.65,37613420,140000
10227,25806,2018/3/19 20:20,1312.75,1312.84,1313.17,1312.75,0,0,1521462000,10227,2018/3/19 20:20,268.65,268.7,268.71,268.65,45678360,170000
10228,25807,2018/3/19 20:21,1312.85,1312.56,1313.05,1312.56,0,0,1521462060,10228,2018/3/19 20:21,268.7,268.71,268.75,268.7,8061740,30000
10229,25808,2018/3/19 20:22,1312.56,1312.76,1312.85,1312.36,0,0,1521462120,10229,2018/3/19 20:22,268.71,268.66,268.75,268.65,21496080,80000
10230,25809,2018/3/19 20:23,1312.76,1312.55,1312.76,1312.39,0,0,1521462180,10230,2018/3/19 20:23,268.64,268.66,268.72,268.64,21493760,80000
10231,25810,2018/3/19 20:24,1312.56,1312.17,1312.57,1312.06,0,0,1521462240,10231,2018/3/19 20:24,268.68,268.66,268.68,268.66,1074680,4000
10232,25811,2018/3/19 20:25,1312.17,1311.96,1312.45,1311.95,0,0,1521462300,10232,2018/3/19 20:25,268.66,268.66,268.66,268.66,15044960,56000
10233,25812,2018/3/19 20:26,1311.96,1311.97,1312.15,1311.85,0,0,1521462360,10233,2018/3/19 20:26,268.66,268.65,268.66,268.65,13432940,50000
10234,25813,2018/3/19 20:27,1311.97,1312.15,1312.35,1311.95,0,0,1521462420,10234,2018/3/19 20:27,268.63,268.62,268.63,268.6,8595460,32000
10235,25814,2018/3/19 20:28,1312.15,1311.96,1312.24,1311.95,0,0,1521462480,10235,2018/3/19 20:28,268.62,268.63,268.63,268.62,2686260,10000
10236,25815,2018/3/19 20:29,1311.96,1312.06,1312.25,1311.96,0,0,1521462540,10236,2018/3/19 20:29,268.63,268.65,268.65,268.61,15042599,56000
10237,25816,2018/3/19 20:30,1312.04,1311.95,1312.14,1311.74,0,0,1521462600,10237,2018/3/19 20:30,268.61,268.59,268.61,268.59,3223220,12000
10238,25817,2018/3/19 20:31,1311.95,1311.95,1312.14,1311.84,0,0,1521462660,10238,2018/3/19 20:31,268.58,268.58,268.62,268.58,3760240,14000
10239,25818,2018/3/19 20:32,1311.95,1311.72,1312.04,1311.71,0,0,1521462720,10239,2018/3/19 20:32,268.58,268.58,268.58,268.58,4297280,16000
10240,25819,2018/3/19 20:33,1311.72,1311.61,1311.83,1311.61,0,0,1521462780,10240,2018/3/19 20:33,268.57,268.57,268.58,268.57,6982880,26000
10241,25820,2018/3/19 20:34,1311.61,1311.83,1311.88,1311.44,0,0,1521462840,10241,2018/3/19 20:34,268.57,268.52,268.57,268.52,6982560,26000
10242,25821,2018/3/19 20:35,1311.84,1311.74,1311.84,1311.64,0,0,1521462900,10242,2018/3/19 20:35,268.53,268.53,268.56,268.53,16112700,60000
10243,25822,2018/3/19 20:36,1311.74,1311.75,1311.82,1311.62,0,0,1521462960,10243,2018/3/19 20:36,268.54,268.52,268.54,268.52,15574900,58000
10244,25823,2018/3/19 20:37,1311.74,1311.64,1311.83,1311.63,0,0,1521463020,10244,2018/3/19 20:37,268.53,268.53,268.53,268.53,12889440,48000
10245,25824,2018/3/19 20:38,1311.64,1311.73,1311.73,1311.44,0,0,1521463080,10245,2018/3/19 20:38,268.53,268.51,268.53,268.51,11814920,44000
10246,25825,2018/3/19 20:39,1311.73,1311.51,1311.74,1311.46,0,0,1521463140,10246,2018/3/19 20:39,268.51,268.54,268.54,268.51,4296220,16000
10247,25826,2018/3/19 20:40,1311.51,1311.77,1311.81,1311.51,0,0,1521463200,10247,2018/3/19 20:40,268.51,268.5,268.54,268.5,8592820,32000
10248,25827,2018/3/19 20:41,1311.8,1311.8,1311.82,1311.61,0,0,1521463260,10248,2018/3/19 20:41,268.51,268.5,268.51,268.5,4833160,18000
10249,25828,2018/3/19 20:42,1311.8,1311.72,1311.84,1311.7,0,0,1521463320,10249,2018/3/19 20:42,268.5,268.5,268.5,268.5,5907000,22000
10250,25829,2018/3/19 20:43,1311.72,1311.44,1311.72,1311.33,0,0,1521463380,10250,2018/3/19 20:43,268.49,268.51,268.51,268.49,7517940,28000
10251,25830,2018/3/19 20:44,1311.44,1311.25,1311.53,1311.22,0,0,1521463440,10251,2018/3/19 20:44,268.51,268.5,268.51,268.5,3222100,12000
10252,25831,2018/3/19 20:45,1311.25,1311.23,1311.35,1311.14,0,0,1521463500,10252,2018/3/19 20:45,268.5,268.51,268.51,268.5,6981060,26000
10253,25832,2018/3/19 20:46,1311.23,1311.52,1311.52,1311.23,0,0,1521463560,10253,2018/3/19 20:46,268.49,268.5,268.5,268.49,4295880,16000
10254,25833,2018/3/19 20:47,1311.52,1311.42,1311.71,1311.32,0,0,1521463620,10254,2018/3/19 20:47,268.49,268.49,268.49,268.49,2684900,10000
10255,25834,2018/3/19 20:48,1311.42,1311.52,1311.61,1311.32,0,0,1521463680,10255,2018/3/19 20:48,268.5,268.5,268.5,268.5,11814000,44000
10256,25835,2018/3/19 20:49,1311.52,1311.53,1311.73,1311.51,0,0,1521463740,10256,2018/3/19 20:49,268.5,268.48,268.5,268.48,6443860,24000
10257,25836,2018/3/19 20:50,1311.53,1311.81,1311.82,1311.53,0,0,1521463800,10257,2018/3/19 20:50,268.48,268.51,268.58,268.48,19871860,74000
10258,25837,2018/3/19 20:51,1311.81,1311.81,1311.91,1311.71,0,0,1521463860,10258,2018/3/19 20:51,268.51,268.53,268.53,268.51,16648580,62000
10259,25838,2018/3/19 20:52,1311.81,1311.93,1311.93,1311.72,0,0,1521463920,10259,2018/3/19 20:52,268.51,268.55,268.55,268.51,9130620,34000
10260,25839,2018/3/19 20:53,1311.93,1312.02,1312.02,1311.81,0,0,1521463980,10260,2018/3/19 20:53,268.52,268.6,268.6,268.52,11280520,42000
10261,25840,2018/3/19 20:54,1312.02,1312.22,1312.31,1311.92,0,0,1521464040,10261,2018/3/19 20:54,268.53,268.6,268.6,268.53,26858880,100000
10262,25841,2018/3/19 20:55,1312.22,1312.42,1312.6,1312.22,0,0,1521464100,10262,2018/3/19 20:55,268.6,268.59,268.65,268.59,10206960,38000
10263,25842,2018/3/19 20:56,1312.42,1312.5,1312.73,1312.41,0,0,1521464160,10263,2018/3/19 20:56,268.59,268.6,268.6,268.59,9132280,34000
10264,25843,2018/3/19 20:57,1312.5,1312.59,1312.7,1312.29,0,0,1521464220,10264,2018/3/19 20:57,268.6,268.65,268.65,268.6,15042900,56000
