,Unnamed: 0_x,Dates_x,Open_x,Close_x,High_x,Low_x,Value_x,Volume_x,times,Unnamed: 0_y,Dates_y,Open_y,Close_y,High_y,Low_y,Value_y,Volume_y
10544,26513,2018/3/20 9:00,1316.41,1316.66,1316.89,1316.41,0,0,1521507600,10544,2018/3/20 9:00,269.17,269.24,269.24,269.13,10766880,40000
10545,26514,2018/3/20 9:01,1316.66,1316.66,1316.76,1316.65,0,0,1521507660,10545,2018/3/20 9:01,269.24,269.23,269.24,269.16,6999640,26000
10546,26515,2018/3/20 9:02,1316.66,1316.94,1316.95,1316.65,0,0,1521507720,10546,2018/3/20 9:02,269.15,269.16,269.16,269.15,6997920,26000
10547,26516,2018/3/20 9:03,1316.94,1316.78,1316.95,1316.77,0,0,1521507780,10547,2018/3/20 9:03,269.16,269.24,269.24,269.16,20995280,78000
10548,26517,2018/3/20 9:04,1316.78,1316.24,1316.79,1316.22,0,0,1521507840,10548,2018/3/20 9:04,269.24,269.12,269.25,269.12,29612940,110000
10549,26518,2018/3/20 9:05,1316.24,1316.45,1316.47,1316.17,0,0,1521507900,10549,2018/3/20 9:05,269.06,269.06,269.12,269.06,4843500,18000
10550,26519,2018/3/20 9:06,1316.45,1316.36,1316.45,1316.26,0,0,1521507960,10550,2018/3/20 9:06,269.06,269.02,269.06,269.02,23673980,88000
10551,26520,2018/3/20 9:07,1316.36,1316.36,1316.38,1316.3,0,0,1521508020,10551,2018/3/20 9:07,269.01,269.07,269.12,269,37663920,140000
10552,26521,2018/3/20 9:08,1316.36,1316.26,1316.36,1316.25,0,0,1521508080,10552,2018/3/20 9:08,269.1,269.11,269.12,269.1,11302700,42000
10553,26522,2018/3/20 9:09,1316.26,1316.25,1316.34,1316.25,0,0,1521508140,10553,2018/3/20 9:09,269.1,269.1,269.14,269.1,10225880,38000
10554,26523,2018/3/20 9:10,1316.25,1316.12,1316.28,1316.06,0,0,1521508200,10554,2018/3/20 9:10,269.1,269.08,269.1,269.08,9148759,34000
10555,26524,2018/3/20 9:11,1316.12,1316.16,1316.27,1316.06,0,0,1521508260,10555,2018/3/20 9:11,269.08,269.08,269.09,269.08,2152660,8000
10556,26525,2018/3/20 9:12,1316.16,1316.05,1316.27,1316.05,0,0,1521508320,10556,2018/3/20 9:12,269.09,269.07,269.09,269.07,6457860,24000
10557,26526,2018/3/20 9:13,1316.05,1316.07,1316.13,1315.95,0,0,1521508380,10557,2018/3/20 9:13,269.07,269.05,269.07,269.05,5919460,22000
10558,26527,2018/3/20 9:14,1316.07,1315.97,1316.16,1315.97,0,0,1521508440,10558,2018/3/20 9:14,269.05,269.05,269.07,269.05,25290958,94000
10559,26528,2018/3/20 9:15,1315.97,1315.96,1316.06,1315.9,0,0,1521508500,10559,2018/3/20 9:15,269.02,269.02,269.02,269.02,538040,2000
10560,26529,2018/3/20 9:16,1315.96,1315.86,1315.97,1315.85,0,0,1521508560,10560,2018/3/20 9:16,269.05,269.01,269.05,269,23138118,86000
10561,26530,2018/3/20 9:17,1315.86,1315.76,1315.88,1315.75,0,0,1521508620,10561,2018/3/20 9:17,269.01,269.04,269.04,269.01,5918460,22000
10562,26531,2018/3/20 9:18,1315.76,1315.85,1315.86,1315.73,0,0,1521508680,10562,2018/3/20 9:18,269.01,269.05,269.05,269.01,11300020,42000
10563,26532,2018/3/20 9:19,1315.85,1316.07,1316.16,1315.84,0,0,1521508740,10563,2018/3/20 9:19,269.02,269.03,269.05,269.02,24214100,90000
10564,26533,2018/3/20 9:20,1316.07,1316.06,1316.11,1316.06,0,0,1521508800,10564,2018/3/20 9:20,269.03,269.08,269.08,269.03,25827900,96000
10565,26534,2018/3/20 9:21,1316.06,1316.4,1316.49,1316.06,0,0,1521508860,10565,2018/3/20 9:21,269.08,269.08,269.1,269.08,8072620,30000
10566,26535,2018/3/20 9:22,1316.39,1316.57,1316.58,1316.38,0,0,1521508920,10566,2018/3/20 9:22,269.08,269.08,269.08,269.05,2152520,8000
10567,26536,2018/3/20 9:23,1316.57,1316.63,1316.68,1316.48,0,0,1521508980,10567,2018/3/20 9:23,269.08,269.15,269.15,269.08,34445080,128000
10568,26537,2018/3/20 9:24,1316.63,1316.56,1316.67,1316.56,0,0,1521509040,10568,2018/3/20 9:24,269.15,269.15,269.15,269.15,538300,2000
10569,26538,2018/3/20 9:25,1316.56,1316.56,1316.66,1316.55,0,0,1521509100,10569,2018/3/20 9:25,269.18,269.15,269.18,269.15,3230100,12000
10570,26539,2018/3/20 9:26,1316.56,1316.57,1316.66,1316.55,0,0,1521509160,10570,2018/3/20 9:26,269.18,269.2,269.2,269.18,3768660,14000
10571,26540,2018/3/20 9:27,1316.57,1316.56,1316.66,1316.55,0,0,1521509220,10571,2018/3/20 9:27,269.19,269.2,269.2,269.19,2153560,8000
10572,26541,2018/3/20 9:28,1316.56,1316.59,1316.67,1316.55,0,0,1521509280,10572,2018/3/20 9:28,269.2,269.2,269.2,269.2,16690401,62000
10573,26542,2018/3/20 9:29,1316.59,1316.66,1316.68,1316.57,0,0,1521509340,10573,2018/3/20 9:29,269.18,269.2,269.2,269.18,14536540,54000
10574,26543,2018/3/20 9:30,1316.66,1316.68,1316.77,1316.58,0,0,1521509400,10574,2018/3/20 9:30,269.19,269.2,269.2,269.19,11844660,44000
10575,26544,2018/3/20 9:31,1316.68,1316.68,1316.69,1316.58,0,0,1521509460,10575,2018/3/20 9:31,269.19,269.19,269.25,269.19,12923000,48000
10576,26545,2018/3/20 9:32,1316.68,1316.48,1316.69,1316.48,0,0,1521509520,10576,2018/3/20 9:32,269.2,269.2,269.25,269.2,13462100,50000
10577,26546,2018/3/20 9:33,1316.48,1316.67,1316.68,1316.47,0,0,1521509580,10577,2018/3/20 9:33,269.2,269.25,269.25,269.2,9153820,34000
10578,26547,2018/3/20 9:34,1316.67,1316.77,1316.78,1316.67,0,0,1521509640,10578,2018/3/20 9:34,269.24,269.25,269.25,269.24,3769480,14000
10579,26548,2018/3/20 9:35,1316.77,1316.74,1316.77,1316.65,0,0,1521509700,10579,2018/3/20 9:35,269.25,269.25,269.25,269.25,10231500,38000
10580,26549,2018/3/20 9:36,1316.74,1316.74,1316.87,1316.73,0,0,1521509760,10580,2018/3/20 9:36,269.25,269.25,269.25,269.25,3769500,14000
