,Unnamed: 0_x,Dates_x,Open_x,Close_x,High_x,Low_x,Value_x,Volume_x,times,Unnamed: 0_y,Dates_y,Open_y,Close_y,High_y,Low_y,Value_y,Volume_y
10801,27172,2018/3/20 19:59,1312.19,1311.85,1312.23,1311.77,0,0,1521547140,10801,2018/3/20 19:59,268.9,268.9,268.9,268.9,7529200,28000
10802,27173,2018/3/20 20:00,1311.85,1311.58,1311.94,1311.26,0,0,1521547200,10802,2018/3/20 20:00,268.72,268.73,268.84,268.71,47837000,178000
10803,27174,2018/3/20 20:01,1311.58,1311.57,1311.78,1311.4,0,0,1521547260,10803,2018/3/20 20:01,268.72,268.75,268.84,268.72,25261720,94000
10804,27175,2018/3/20 20:02,1311.57,1311.58,1311.75,1311.44,0,0,1521547320,10804,2018/3/20 20:02,268.75,268.83,268.84,268.75,12901740,48000
10805,27176,2018/3/20 20:03,1311.58,1311.78,1311.86,1311.58,0,0,1521547380,10805,2018/3/20 20:03,268.8,268.81,268.85,268.78,12903840,48000
10806,27177,2018/3/20 20:04,1311.78,1311.79,1311.89,1311.7,0,0,1521547440,10806,2018/3/20 20:04,268.89,268.82,268.89,268.8,15592020,58000
10807,27178,2018/3/20 20:05,1311.79,1311.87,1311.93,1311.69,0,0,1521547500,10807,2018/3/20 20:05,268.85,268.85,268.85,268.82,12365900,46000
10808,27179,2018/3/20 20:06,1311.87,1311.99,1312.08,1311.79,0,0,1521547560,10808,2018/3/20 20:06,268.87,268.82,268.87,268.82,26345240,98000
10809,27180,2018/3/20 20:07,1311.98,1311.88,1312,1311.82,0,0,1521547620,10809,2018/3/20 20:07,268.81,268.8,268.82,268.8,10214760,38000
10810,27181,2018/3/20 20:08,1311.88,1311.67,1311.89,1311.57,0,0,1521547680,10810,2018/3/20 20:08,268.81,268.81,268.81,268.8,17740980,66000
10811,27182,2018/3/20 20:09,1311.67,1311.62,1311.86,1311.62,0,0,1521547740,10811,2018/3/20 20:09,268.85,268.8,268.85,268.78,8065080,30000
10812,27183,2018/3/20 20:10,1311.62,1311.36,1311.62,1311.34,0,0,1521547800,10812,2018/3/20 20:10,268.8,268.74,268.8,268.74,39241680,146000
10813,27184,2018/3/20 20:11,1311.36,1311.36,1311.44,1311.17,0,0,1521547860,10813,2018/3/20 20:11,268.74,268.72,268.78,268.7,22571840,84000
10814,27185,2018/3/20 20:12,1311.36,1311.47,1311.47,1311.25,0,0,1521547920,10814,2018/3/20 20:12,268.72,268.72,268.78,268.71,10749840,40000
10815,27186,2018/3/20 20:13,1311.47,1311.37,1311.56,1311.28,0,0,1521547980,10815,2018/3/20 20:13,268.72,268.73,268.8,268.72,19351060,72000
10816,27187,2018/3/20 20:14,1311.37,1311.35,1311.45,1311.34,0,0,1521548040,10816,2018/3/20 20:14,268.75,268.8,268.84,268.75,8601820,32000
10817,27188,2018/3/20 20:15,1311.35,1311.56,1311.56,1311.26,0,0,1521548100,10817,2018/3/20 20:15,268.82,268.8,268.84,268.74,9138600,34000
10818,27189,2018/3/20 20:16,1311.56,1311.38,1311.56,1311.19,0,0,1521548160,10818,2018/3/20 20:16,268.76,268.76,268.76,268.74,8600200,32000
10819,27190,2018/3/20 20:17,1311.38,1311.38,1311.58,1311.37,0,0,1521548220,10819,2018/3/20 20:17,268.76,268.73,268.76,268.73,8599920,32000
10820,27191,2018/3/20 20:18,1311.38,1311.39,1311.39,1311.28,0,0,1521548280,10820,2018/3/20 20:18,268.74,268.73,268.74,268.73,1612420,6000
