,Unnamed: 0_x,Dates_x,Open_x,Close_x,High_x,Low_x,Value_x,Volume_x,times,Unnamed: 0_y,Dates_y,Open_y,Close_y,High_y,Low_y,Value_y,Volume_y
11412,10641,2018/3/21 21:00,271.6,271.7,271.75,271.6,769384.75,2832,1521637200,11412,2018/3/21 21:00,269.75,269.82,269.82,269.75,77696800,288000
11413,10642,2018/3/21 21:01,271.7,271.8,271.8,271.65,623925.88,2296,1521637260,11413,2018/3/21 21:01,269.82,269.89,269.95,269.82,49659080,184000
11414,10643,2018/3/21 21:02,271.8,271.85,271.9,271.75,412077.31,1516,1521637320,11414,2018/3/21 21:02,269.9,269.94,269.95,269.85,87995064,326000
11415,10644,2018/3/21 21:03,271.8,271.9,271.95,271.8,369760.78,1360,1521637380,11415,2018/3/21 21:03,269.95,269.97,270.02,269.93,134989824,500000
11416,10645,2018/3/21 21:04,271.85,271.8,271.9,271.75,145693.7,536,1521637440,11416,2018/3/21 21:04,269.95,269.85,269.95,269.85,69641840,258000
11417,10646,2018/3/21 21:05,271.8,271.8,271.8,271.75,136432.19,502,1521637500,11417,2018/3/21 21:05,269.9,269.86,269.94,269.85,53441440,198000
11418,10647,2018/3/21 21:06,271.8,271.75,271.8,271.7,97822.7,360,1521637560,11418,2018/3/21 21:06,269.85,269.85,269.89,269.85,14032860,52000
11419,10648,2018/3/21 21:07,271.7,271.75,271.8,271.7,71194.6,262,1521637620,11419,2018/3/21 21:07,269.85,269.87,269.87,269.85,11333820,42000
11420,10649,2018/3/21 21:08,271.75,271.75,271.8,271.7,111425.5,410,1521637680,11420,2018/3/21 21:08,269.87,269.86,269.9,269.86,18352280,68000
11421,10650,2018/3/21 21:09,271.8,271.75,271.8,271.7,88052.1,324,1521637740,11421,2018/3/21 21:09,269.88,269.87,269.88,269.86,32924720,122000
11422,10651,2018/3/21 21:10,271.75,271.75,271.8,271.75,37505.8,138,1521637800,11422,2018/3/21 21:10,269.87,269.88,269.88,269.87,17272260,64000
11423,10652,2018/3/21 21:11,271.75,271.75,271.8,271.7,102717.7,378,1521637860,11423,2018/3/21 21:11,269.88,269.87,269.89,269.87,49117740,182000
11424,10653,2018/3/21 21:12,271.75,271.7,271.75,271.7,19565,72,1521637920,11424,2018/3/21 21:12,269.87,269.86,269.87,269.86,42639020,158000
11425,10654,2018/3/21 21:13,271.7,271.7,271.75,271.7,62495.1,230,1521637980,11425,2018/3/21 21:13,269.86,269.88,269.88,269.86,28606460,106000
11426,10655,2018/3/21 21:14,271.7,271.75,271.75,271.65,213002.89,784,1521638040,11426,2018/3/21 21:14,269.87,269.87,269.87,269.86,16191900,60000
11427,10656,2018/3/21 21:15,271.75,271.75,271.75,271.7,81516.9,300,1521638100,11427,2018/3/21 21:15,269.86,269.87,269.88,269.86,23209140,86000
11428,10657,2018/3/21 21:16,271.7,271.8,271.8,271.7,101639,374,1521638160,11428,2018/3/21 21:16,269.88,269.93,269.94,269.88,44263240,164000
11429,10658,2018/3/21 21:17,271.75,271.85,271.9,271.75,411566.41,1514,1521638220,11429,2018/3/21 21:17,269.93,269.99,270,269.93,95575536,354000
11430,10659,2018/3/21 21:18,271.85,271.9,271.95,271.85,349128.94,1284,1521638280,11430,2018/3/21 21:18,270,270.03,270.03,269.99,65342240,242000
11431,10660,2018/3/21 21:19,271.9,271.95,271.95,271.9,118562.91,436,1521638340,11431,2018/3/21 21:19,270.02,270.03,270.05,270.02,73986456,274000
11432,10661,2018/3/21 21:20,271.95,271.95,271.95,271.9,152290.59,560,1521638400,11432,2018/3/21 21:20,270.04,270.05,270.05,270.01,34024220,126000
11433,10662,2018/3/21 21:21,271.95,272.2,272.25,271.9,610015.88,2242,1521638460,11433,2018/3/21 21:21,270.06,270.26,270.26,270.05,85910160,318000
11434,10663,2018/3/21 21:22,272.2,272.3,272.45,272.2,899181.19,3302,1521638520,11434,2018/3/21 21:22,270.28,270.36,270.52,270.28,227158320,840000
11435,10664,2018/3/21 21:23,272.3,272.3,272.35,272.15,460637.22,1692,1521638580,11435,2018/3/21 21:23,270.36,270.32,270.46,270.3,121682120,450000
11436,10665,2018/3/21 21:24,272.25,272.25,272.3,272.2,270069,992,1521638640,11436,2018/3/21 21:24,270.33,270.38,270.4,270.33,51371340,190000
11437,10666,2018/3/21 21:25,272.25,272.3,272.35,272.25,398123.31,1462,1521638700,11437,2018/3/21 21:25,270.37,270.42,270.45,270.36,78418560,290000
11438,10667,2018/3/21 21:26,272.3,272.35,272.35,272.3,257611,946,1521638760,11438,2018/3/21 21:26,270.45,270.44,270.46,270.43,87083536,322000
11439,10668,2018/3/21 21:27,272.3,272.4,272.45,272.25,241324.58,886,1521638820,11439,2018/3/21 21:27,270.44,270.49,270.49,270.44,86007520,318000
11440,10669,2018/3/21 21:28,272.4,272.4,272.4,272.35,172150.61,632,1521638880,11440,2018/3/21 21:28,270.48,270.5,270.5,270.45,166626480,616000
11441,10670,2018/3/21 21:29,272.4,272.3,272.4,272.25,196645,722,1521638940,11441,2018/3/21 21:29,270.48,270.4,270.5,270.4,160123168,592000
11442,10671,2018/3/21 21:30,272.3,272.45,272.45,272.3,373694.31,1372,1521639000,11442,2018/3/21 21:30,270.4,270.46,270.49,270.4,68147616,252000
11443,10672,2018/3/21 21:31,272.4,272.35,272.5,272.3,514389.91,1888,1521639060,11443,2018/3/21 21:31,270.5,270.4,270.58,270.4,132002976,488000
11444,10673,2018/3/21 21:32,272.35,272.3,272.35,272.25,231985.8,852,1521639120,11444,2018/3/21 21:32,270.4,270.4,270.43,270.35,39478620,146000
11445,10674,2018/3/21 21:33,272.3,272.25,272.35,272.25,104555.3,384,1521639180,11445,2018/3/21 21:33,270.37,270.36,270.44,270.34,75173000,278000
11446,10675,2018/3/21 21:34,272.25,272.3,272.3,272.25,84410.2,310,1521639240,11446,2018/3/21 21:34,270.33,270.33,270.44,270.33,42721740,158000
11447,10676,2018/3/21 21:35,272.3,272.35,272.35,272.2,224355.8,824,1521639300,11447,2018/3/21 21:35,270.4,270.4,270.42,270.35,59484940,220000
11448,10677,2018/3/21 21:36,272.35,272.35,272.4,272.3,84966.3,312,1521639360,11448,2018/3/21 21:36,270.35,270.43,270.43,270.35,57866500,214000
11449,10678,2018/3/21 21:37,272.4,272.4,272.45,272.35,143822.61,528,1521639420,11449,2018/3/21 21:37,270.44,270.48,270.49,270.44,60583820,224000
11450,10679,2018/3/21 21:38,272.35,272.35,272.45,272.35,113310.3,416,1521639480,11450,2018/3/21 21:38,270.49,270.42,270.49,270.42,34620660,128000
11451,10680,2018/3/21 21:39,272.3,272.35,272.35,272.3,58276.4,214,1521639540,11451,2018/3/21 21:39,270.45,270.36,270.45,270.35,16225560,60000
11452,10681,2018/3/21 21:40,272.35,272.4,272.45,272.35,180322.8,662,1521639600,11452,2018/3/21 21:40,270.39,270.45,270.46,270.39,66529960,246000
