,,open,high,low,close,,time,,vpin,cdfvpin,diff,date,datechar,,
1,3,267.65,267.72,267.66,267.7,4.41E+06,8,0,0.15143,0.0015966,0.05,2018/7/2 9:01,2018/7/2 9:01,,
2,12,267.72,267.73,267.7,267.67,4.07E+06,8,0,0.15143,0.0015966,-0.05,2018/7/2 9:10,2018/7/2 9:10,,
2,21,267.7,267.8,267.7,267.78,4.13E+06,18,0,0.18107,0.002661,0.08,2018/7/2 9:19,2018/7/2 9:19,,
2,40,267.79,267.82,267.79,267.8,4.41E+06,6,0,0.14087,0.0005322,0.01,2018/7/2 9:39,2018/7/2 9:39,,
2,47,267.81,267.81,267.73,267.72,4.12E+06,18,0,0.16686,0.0021288,-0.09,2018/7/2 9:46,2018/7/2 9:46,,
2,66,267.72,267.75,267.56,267.61,4.40E+06,89,0,0.19566,0.0042576,-0.11,2018/7/2 10:08,2018/7/2 10:08,,
2,156,267.68,267.81,267.65,267.8,4.39E+06,60,0,0.22027,0.010644,0.12,2018/7/2 13:48,2018/7/2 13:48,,
2,217,267.8,267.92,267.8,267.85,4.08E+06,17,0,0.21145,0.0090474,0.05,2018/7/2 14:50,2018/7/2 14:50,,
2,235,267.85,268.58,267.85,268.55,4.03E+06,35,0,0.30154,0.087813,0.7,2018/7/2 15:08,2018/7/2 15:08,,
2,281,268.59,268.65,268.46,268.46,3.99E+06,42,0,0.30996,0.11229,-0.13,2018/7/2 20:15,2018/7/2 20:15,,
2,324,268.45,268.53,268.46,268.52,4.29E+06,6,0,0.29993,0.083023,0.07,2018/7/2 20:58,2018/7/2 20:58,,
2,331,268.52,268.55,268.4,268.36,4.02E+06,30,0,0.31435,0.1272,-0.16,2018/7/2 21:05,2018/7/2 21:05,,
2,362,268.36,268.45,268.3,268.4,4.21E+06,37,0,0.29758,0.076104,0.04,2018/7/2 21:36,2018/7/2 21:36,,
2,400,268.41,268.45,268.16,268.23,4.07E+06,37,0,0.31456,0.12879,-0.18,2018/7/2 22:14,2018/7/2 22:14,,
2,438,268.3,268.26,267.96,267.93,3.99E+06,54,0,0.35388,0.28047,-0.37,2018/7/2 22:53,2018/7/2 22:53,,
2,493,267.97,267.97,267.53,267.5,4.37E+06,64,0,0.39822,0.52581,-0.47,2018/7/2 23:49,2018/7/2 23:49,,
3,558,267.5,267.65,267.25,267.47,4.08E+06,101,0,0.37763,0.40021,-0.03,2018/7/3 0:55,2018/7/3 0:55,,
3,661,267.5,268.18,267.51,268.01,4.01E+06,25,0,0.41478,0.62533,0.51,2018/7/3 9:16,2018/7/3 9:16,,
3,687,268.05,268.21,268.09,268.18,4.43E+06,10,0,0.41293,0.61895,0.13,2018/7/3 9:43,2018/7/3 9:43,,
3,698,268.21,268.21,268.09,268.05,4.35E+06,6,0,0.41634,0.63704,-0.16,2018/7/3 9:54,2018/7/3 9:54,,
3,705,268.06,268.06,268.05,268.06,4.06E+06,4,0,0.39275,0.48749,0,2018/7/3 10:01,2018/7/3 10:01,,
3,710,268.06,268.22,268.06,268.2,4.36E+06,8,0,0.39396,0.50027,0.14,2018/7/3 10:06,2018/7/3 10:06,,
3,719,268.22,268.2,268.19,268.06,4.12E+06,7,0,0.39788,0.52368,-0.16,2018/7/3 10:15,2018/7/3 10:15,,
3,727,268.06,268.06,267.84,267.86,4.08E+06,37,0,0.40654,0.57371,-0.2,2018/7/3 10:23,2018/7/3 10:23,,
3,765,267.9,268.02,267.86,267.95,4.04E+06,30,0,0.39397,0.5008,0.05,2018/7/3 11:05,2018/7/3 11:05,,
3,796,267.95,268,267.85,267.85,4.12E+06,32,0,0.38942,0.47259,-0.1,2018/7/3 13:39,2018/7/3 13:39,,
3,829,267.86,267.92,267.81,267.8,4.21E+06,38,0,0.37923,0.41405,-0.06,2018/7/3 14:19,2018/7/3 14:19,,
3,868,267.81,267.92,267.6,267.56,4.04E+06,34,0,0.3928,0.48803,-0.25,2018/7/3 15:03,2018/7/3 15:03,,
3,911,267.56,267.56,267.54,267.5,4.03E+06,6,0,0.38333,0.44066,-0.06,2018/7/3 20:08,2018/7/3 20:08,,
3,918,267.54,268.17,267.46,268.08,4.12E+06,48,0,0.41047,0.60032,0.54,2018/7/3 20:15,2018/7/3 20:15,,
3,967,268.12,268.16,268.01,268.08,4.18E+06,31,0,0.39757,0.52102,-0.04,2018/7/3 21:04,2018/7/3 21:04,,
3,999,268.17,268.51,268.14,268.45,4.03E+06,45,0,0.41191,0.6099,0.28,2018/7/3 21:36,2018/7/3 21:36,,
3,1045,268.45,268.8,268.4,268.7,4.15E+06,47,0,0.42349,0.67536,0.25,2018/7/3 22:22,2018/7/3 22:22,,
3,1093,268.76,268.94,268.65,268.75,4.01E+06,74,0,0.40741,0.58169,-0.01,2018/7/3 23:10,2018/7/3 23:10,,
4,1168,268.8,269.1,268.66,269.08,4.26E+06,112,0,0.42156,0.66046,0.28,2018/7/4 0:25,2018/7/4 0:25,,
4,1282,269.1,269.21,269.12,269.17,4.37E+06,9,0,0.41271,0.61735,0.07,2018/7/4 9:04,2018/7/4 9:04,,
4,1292,269.2,269.18,269.11,269.13,4.04E+06,13,0,0.40495,0.56573,-0.07,2018/7/4 9:14,2018/7/4 9:14,,
4,1306,269.18,269.35,269.23,269.06,5.12E+06,6,0,0.40275,0.55136,-0.12,2018/7/4 9:28,2018/7/4 9:28,,
4,1313,269.09,269.12,268.97,269,4.03E+06,24,0,0.39785,0.52262,-0.09,2018/7/4 9:35,2018/7/4 9:35,,
4,1338,269,269.05,268.83,268.83,4.12E+06,29,0,0.40167,0.54071,-0.17,2018/7/4 10:00,2018/7/4 10:00,,
4,1368,268.84,268.93,268.86,268.82,4.35E+06,24,0,0.38771,0.46088,-0.02,2018/7/4 10:30,2018/7/4 10:30,,
4,1393,268.86,268.88,268.83,268.84,4.07E+06,13,0,0.37511,0.38371,-0.02,2018/7/4 10:57,2018/7/4 10:57,,
4,1407,268.85,268.88,268.8,268.81,4.09E+06,45,0,0.36523,0.34007,-0.04,2018/7/4 11:11,2018/7/4 11:11,,
4,1453,268.82,268.81,268.51,268.5,4.18E+06,23,0,0.38161,0.42895,-0.32,2018/7/4 14:08,2018/7/4 14:08,,
4,1477,268.52,268.59,268.44,268.45,4.66E+06,48,0,0.37427,0.37733,-0.07,2018/7/4 14:32,2018/7/4 14:32,,
4,1526,268.45,268.62,268.3,268.48,5.29E+06,50,0,0.36039,0.31134,0.03,2018/7/4 15:21,2018/7/4 15:21,,
4,1585,268.49,268.51,268.49,268.48,4.74E+06,6,0,0.3458,0.24162,-0.01,2018/7/4 20:44,2018/7/4 20:44,,
4,1592,268.49,268.49,268.49,268.49,4.09E+06,4,0,0.33232,0.18201,0,2018/7/4 20:51,2018/7/4 20:51,,
4,1597,268.49,268.56,268.25,268.41,4.02E+06,61,0,0.32824,0.17084,-0.08,2018/7/4 20:56,2018/7/4 20:56,,
4,1659,268.46,268.82,268.46,268.71,4.00E+06,99,0,0.33977,0.21181,0.25,2018/7/4 22:01,2018/7/4 22:01,,
5,1759,268.71,269,268.43,268.7,4.32E+06,98,0,0.32691,0.16605,-0.01,2018/7/5 0:11,2018/7/5 0:11,,
5,1859,268.71,268.85,268.72,268.81,4.45E+06,12,0,0.32475,0.15806,0.1,2018/7/5 9:09,2018/7/5 9:09,,
5,1872,268.81,268.9,268.75,268.81,4.08E+06,12,0,0.31139,0.11708,0,2018/7/5 9:23,2018/7/5 9:23,,
5,1885,268.82,268.82,268.71,268.72,4.00E+06,25,0,0.3094,0.1091,-0.1,2018/7/5 9:37,2018/7/5 9:37,,
5,1911,268.76,268.83,268.66,268.7,4.05E+06,64,0,0.30281,0.089941,-0.06,2018/7/5 10:07,2018/7/5 10:07,,
5,1976,268.68,268.66,268.58,268.56,4.15E+06,25,0,0.30278,0.089409,-0.12,2018/7/5 13:30,2018/7/5 13:30,,
5,2002,268.6,268.7,268.6,268.6,4.16E+06,55,0,0.28912,0.056413,0,2018/7/5 13:56,2018/7/5 13:56,,
5,2058,268.6,268.62,268.23,268.18,4.21E+06,40,0,0.31035,0.11495,-0.42,2018/7/5 14:55,2018/7/5 14:55,,
5,2107,268.16,268.6,268.09,268.5,4.00E+06,54,0,0.32676,0.16498,0.34,2018/7/5 20:07,2018/7/5 20:07,,
5,2162,268.52,268.64,268.35,268.59,4.24E+06,63,0,0.32098,0.15061,0.07,2018/7/5 21:03,2018/7/5 21:03,,
5,2226,268.59,268.92,268.62,268.86,4.44E+06,31,0,0.33513,0.19532,0.27,2018/7/5 22:11,2018/7/5 22:11,,
5,2258,268.86,269.18,268.86,269.15,3.99E+06,37,0,0.34867,0.25492,0.29,2018/7/5 22:43,2018/7/5 22:43,,
5,2296,269.15,269.26,269.12,269.08,4.19E+06,9,0,0.34247,0.22565,-0.07,2018/7/5 23:21,2018/7/5 23:21,,
5,2306,269.11,269.13,268.92,269.01,4.17E+06,55,0,0.33958,0.21022,-0.1,2018/7/5 23:31,2018/7/5 23:31,,
6,2362,269.01,269.09,269.01,269.01,4.04E+06,19,0,0.32573,0.16179,0,2018/7/6 0:36,2018/7/6 0:36,,
6,2382,269.01,269.09,268.88,268.96,4.20E+06,57,0,0.3179,0.13997,-0.05,2018/7/6 1:13,2018/7/6 1:13,,
6,2440,268.91,269,268.86,268.95,4.07E+06,25,0,0.30976,0.11123,0.04,2018/7/6 2:25,2018/7/6 2:25,,
