structure.c.,Dates_x
45.69005821,2018/8/7 9:35
45.69361776,2018/8/7 9:36
45.70453886,2018/8/7 9:37
45.6887174,2018/8/7 9:38
45.69275592,2018/8/7 9:40
45.68818721,2018/8/7 9:41
45.68973401,2018/8/7 9:42
45.68718994,2018/8/7 9:43
45.67993482,2018/8/7 9:44
45.67748819,2018/8/7 9:45
45.68719934,2018/8/7 9:46
45.68038914,2018/8/7 9:47
45.67091938,2018/8/7 9:52
45.67136911,2018/8/7 9:53
45.67687126,2018/8/7 9:56
45.67692294,2018/8/7 9:57
45.67416512,2018/8/7 9:58
45.67472261,2018/8/7 9:59
45.67216755,2018/8/7 10:00
45.65743543,2018/8/7 10:01
45.66255935,2018/8/7 10:04
45.65737299,2018/8/7 10:07
45.66123797,2018/8/7 10:08
45.65503692,2018/8/7 10:09
45.6643583,2018/8/7 10:10
45.64293393,2018/8/7 10:11
45.65650565,2018/8/7 10:12
45.62677842,2018/8/7 10:13
45.63646981,2018/8/7 10:14
45.63893627,2018/8/7 10:15
45.62226949,2018/8/7 10:16
45.64132595,2018/8/7 10:17
45.69360127,2018/8/7 10:18
45.69420248,2018/8/7 10:19
45.64377146,2018/8/7 10:22
45.67725739,2018/8/7 10:23
45.69508326,2018/8/7 10:24
45.70297783,2018/8/7 10:25
45.69418457,2018/8/7 10:26
45.69666125,2018/8/7 10:28
45.63944456,2018/8/7 10:29
45.63794532,2018/8/7 10:30
45.6021109,2018/8/7 10:31
45.64952932,2018/8/7 10:32
45.63404033,2018/8/7 10:33
45.63445599,2018/8/7 10:34
45.63837226,2018/8/7 10:35
45.63104107,2018/8/7 10:36
45.63294031,2018/8/7 10:37
45.62604704,2018/8/7 10:38
45.64686159,2018/8/7 10:39
45.62075088,2018/8/7 10:40
45.61460577,2018/8/7 10:41
45.60352206,2018/8/7 10:42
45.61540855,2018/8/7 10:43
45.63857006,2018/8/7 10:45
45.63386762,2018/8/7 10:46
45.63234583,2018/8/7 10:47
45.61341761,2018/8/7 10:49
45.60747621,2018/8/7 10:50
45.60777425,2018/8/7 10:51
45.60149304,2018/8/7 10:52
45.60636492,2018/8/7 10:53
45.5919874,2018/8/7 10:55
45.56960769,2018/8/7 10:57
45.52442365,2018/8/7 11:00
45.5025897,2018/8/7 11:01
45.49491078,2018/8/7 11:02
45.5044833,2018/8/7 11:03
45.50233201,2018/8/7 11:05
45.50126223,2018/8/7 11:06
45.49194162,2018/8/7 11:07
45.4979213,2018/8/7 11:08
45.49923007,2018/8/7 11:09
