lbma from Au(T+D),Au(T+D) from LBMA,Dates_x
0.081179539,38.22155272,2018/6/21 14:07
0.082244999,38.22737178,2018/6/21 14:08
0.082163957,38.25539395,2018/6/21 14:10
0.08260504,38.25457519,2018/6/21 14:11
0.082529317,38.25800762,2018/6/21 14:12
0.083878838,38.24664497,2018/6/21 14:13
0.0862263,38.23973764,2018/6/21 14:14
0.086639183,38.23121588,2018/6/21 14:15
0.0878391,38.23456647,2018/6/21 14:16
0.087496285,38.23651879,2018/6/21 14:17
0.089861885,38.24269518,2018/6/21 14:22
0.091144489,38.25942227,2018/6/21 14:25
0.090510148,38.24981236,2018/6/21 14:27
0.088489521,38.23466536,2018/6/21 14:35
0.08901688,38.23882377,2018/6/21 14:36
0.088905561,38.23474268,2018/6/21 14:37
0.088384946,38.22459369,2018/6/21 14:39
0.087794481,38.22842502,2018/6/21 14:40
0.088068685,38.22817472,2018/6/21 14:41
0.088985275,38.22476153,2018/6/21 14:42
0.090659475,38.2170144,2018/6/21 14:46
0.090575302,38.21814353,2018/6/21 14:49
0.091181402,38.22803733,2018/6/21 14:52
0.088984258,38.21387698,2018/6/21 14:53
0.090639945,38.22384658,2018/6/21 14:55
0.089408489,38.2178395,2018/6/21 14:57
0.089100131,38.21080226,2018/6/21 14:58
0.089937297,38.18642881,2018/6/21 14:59
0.090399198,38.16900744,2018/6/21 15:02
0.089657387,38.16427337,2018/6/21 15:03
0.085727708,38.15232577,2018/6/21 15:04
0.08814205,38.15291425,2018/6/21 15:06
0.089134516,38.16771917,2018/6/21 15:08
0.087528427,38.17865353,2018/6/21 15:09
0.084378015,38.16665251,2018/6/21 15:10
0.085513302,38.18502652,2018/6/21 15:16
0.083712588,38.16272379,2018/6/21 15:23
0.088160241,38.17156652,2018/6/21 15:24
0.086616097,38.14742948,2018/6/21 19:59
0.09015012,38.2020886,2018/6/21 20:01
0.089932151,38.21964033,2018/6/21 20:05
0.089621224,38.22438231,2018/6/21 20:08
0.089270867,38.22582947,2018/6/21 20:09
0.089014104,38.22286884,2018/6/21 20:10
0.092976175,38.26412308,2018/6/21 20:11
0.092503233,38.28728301,2018/6/21 20:12
0.091255168,38.28055729,2018/6/21 20:13
0.089143034,38.2479933,2018/6/21 20:16
0.088483769,38.24281669,2018/6/21 20:17
0.089343837,38.24477592,2018/6/21 20:19
0.088180868,38.23207993,2018/6/21 20:20
0.085241398,38.20969837,2018/6/21 20:21
0.087429659,38.20725337,2018/6/21 20:22
0.08799639,38.20434299,2018/6/21 20:24
0.085682283,38.20229281,2018/6/21 20:25
0.086386915,38.2040926,2018/6/21 20:30
0.089293377,38.22605283,2018/6/21 20:32
0.088742877,38.23290654,2018/6/21 20:33
0.08655812,38.21900981,2018/6/21 20:35
0.084898628,38.21002834,2018/6/21 20:36
0.086927743,38.20941613,2018/6/21 20:37
0.084671433,38.19265328,2018/6/21 20:38
0.086614076,38.17123729,2018/6/21 20:39
0.085154018,38.15409707,2018/6/21 20:44
0.084132589,38.13631326,2018/6/21 20:46
0.086475801,38.14730521,2018/6/21 20:47
0.08613732,38.14744157,2018/6/21 20:48
0.084681565,38.14557977,2018/6/21 20:50
0.085839476,38.15739157,2018/6/21 20:53
0.089963849,38.16473897,2018/6/21 20:56
0.089988332,38.17410049,2018/6/21 20:57
0.086841691,38.13360262,2018/6/21 21:01
0.087272268,38.12703294,2018/6/21 21:02
0.088028414,38.15160644,2018/6/21 21:03
