structure.c,Dates_x
38.30273226,2018/6/21 14:07
38.30961678,2018/6/21 14:08
38.33755791,2018/6/21 14:10
38.33718023,2018/6/21 14:11
38.34053693,2018/6/21 14:12
38.33052381,2018/6/21 14:13
38.32596394,2018/6/21 14:14
38.31785507,2018/6/21 14:15
38.32240557,2018/6/21 14:16
38.32401508,2018/6/21 14:17
38.33255707,2018/6/21 14:22
38.35056676,2018/6/21 14:25
38.3403225,2018/6/21 14:27
38.32315489,2018/6/21 14:35
38.32784065,2018/6/21 14:36
38.32364824,2018/6/21 14:37
38.31297864,2018/6/21 14:39
38.3162195,2018/6/21 14:40
38.3162434,2018/6/21 14:41
38.3137468,2018/6/21 14:42
38.30767388,2018/6/21 14:46
38.30871883,2018/6/21 14:49
38.31921873,2018/6/21 14:52
38.30286124,2018/6/21 14:53
38.31448652,2018/6/21 14:55
38.30724799,2018/6/21 14:57
38.29990239,2018/6/21 14:58
38.27636611,2018/6/21 14:59
38.25940664,2018/6/21 15:02
38.25393075,2018/6/21 15:03
38.23805347,2018/6/21 15:04
38.2410563,2018/6/21 15:06
38.25685369,2018/6/21 15:08
38.26618195,2018/6/21 15:09
38.25103052,2018/6/21 15:10
38.27053982,2018/6/21 15:16
38.24643638,2018/6/21 15:23
38.25972676,2018/6/21 15:24
38.23404558,2018/6/21 19:59
38.29223872,2018/6/21 20:01
38.30957248,2018/6/21 20:05
38.31400354,2018/6/21 20:08
38.31510033,2018/6/21 20:09
38.31188294,2018/6/21 20:10
38.35709925,2018/6/21 20:11
38.37978624,2018/6/21 20:12
38.37181246,2018/6/21 20:13
38.33713634,2018/6/21 20:16
38.33130046,2018/6/21 20:17
38.33411976,2018/6/21 20:19
38.3202608,2018/6/21 20:20
38.29493977,2018/6/21 20:21
38.29468303,2018/6/21 20:22
38.29233938,2018/6/21 20:24
38.28797509,2018/6/21 20:25
38.29047952,2018/6/21 20:30
38.3153462,2018/6/21 20:32
38.32164942,2018/6/21 20:33
38.30556793,2018/6/21 20:35
38.29492697,2018/6/21 20:36
38.29634387,2018/6/21 20:37
38.27732472,2018/6/21 20:38
38.25785137,2018/6/21 20:39
38.23925109,2018/6/21 20:44
38.22044584,2018/6/21 20:46
38.23378101,2018/6/21 20:47
38.23357889,2018/6/21 20:48
38.23026133,2018/6/21 20:50
38.24323104,2018/6/21 20:53
38.25470281,2018/6/21 20:56
38.26408882,2018/6/21 20:57
38.22044431,2018/6/21 21:01
38.21430521,2018/6/21 21:02
38.23963486,2018/6/21 21:03
38.22899443,2018/6/21 21:04
38.27197394,2018/6/21 21:06
38.27037357,2018/6/21 21:08
38.27287743,2018/6/21 21:10
38.27569062,2018/6/21 21:11
38.27367378,2018/6/21 21:12
38.26318299,2018/6/21 21:14
38.254475,2018/6/21 21:15
38.25773415,2018/6/21 21:16
38.26772622,2018/6/21 21:19
38.26661462,2018/6/21 21:20
38.27846635,2018/6/21 21:22
38.2938134,2018/6/21 21:24
38.26076394,2018/6/21 21:31
38.25586325,2018/6/21 21:32
38.26302041,2018/6/21 21:34
38.22531183,2018/6/21 21:35
38.21274051,2018/6/21 21:36
38.21776872,2018/6/21 21:39
38.22687301,2018/6/21 21:42
38.25149916,2018/6/21 21:44
38.24040336,2018/6/21 21:45
38.25897534,2018/6/21 21:48
38.26108841,2018/6/21 21:51
38.23804036,2018/6/21 21:52
38.23619925,2018/6/21 21:53
38.24030102,2018/6/21 21:54
38.25779102,2018/6/21 21:56
38.20607056,2018/6/21 22:01
38.20804387,2018/6/21 22:02
38.21345343,2018/6/21 22:07
38.20914729,2018/6/21 22:08
38.20793551,2018/6/21 22:09
38.1959188,2018/6/21 22:15
38.18317053,2018/6/21 22:20
38.16073884,2018/6/21 22:23
38.15078496,2018/6/21 22:24
38.14818552,2018/6/21 22:25
38.17012459,2018/6/21 22:30
38.16016269,2018/6/21 22:31
38.1740302,2018/6/21 22:33
38.15587294,2018/6/21 22:34
38.16432943,2018/6/21 22:35
38.14392761,2018/6/21 22:37
38.13470663,2018/6/21 22:38
38.10638972,2018/6/21 22:39
38.12997032,2018/6/21 22:43
38.12042907,2018/6/21 22:45
38.11414414,2018/6/21 22:46
38.11941519,2018/6/21 22:47
38.13668048,2018/6/21 22:48
38.13843357,2018/6/21 22:50
38.09523063,2018/6/21 22:51
38.10897907,2018/6/21 22:53
38.11325768,2018/6/21 22:54
38.11679658,2018/6/21 22:55
38.13625789,2018/6/21 22:57
38.17453334,2018/6/21 22:58
38.17885458,2018/6/21 22:59
38.16594511,2018/6/21 23:00
38.15613741,2018/6/21 23:01
38.13435977,2018/6/21 23:03
38.11108681,2018/6/21 23:05
38.12293832,2018/6/21 23:06
38.13092583,2018/6/21 23:08
38.13222138,2018/6/21 23:11
38.14413737,2018/6/21 23:15
38.14732185,2018/6/21 23:16
38.14312261,2018/6/21 23:17
38.14235215,2018/6/21 23:19
38.13083708,2018/6/21 23:24
38.1378981,2018/6/21 23:28
38.13991523,2018/6/21 23:29
38.14310499,2018/6/21 23:30
38.14309503,2018/6/21 23:38
38.1393079,2018/6/21 23:40
38.14077285,2018/6/21 23:41
38.13929894,2018/6/21 23:48
38.13881797,2018/6/21 23:49
38.13960494,2018/6/21 23:50
38.1291558,2018/6/21 23:54
38.15192876,2018/6/21 23:55
38.16852336,2018/6/22
38.17323948,2018/6/22 0:01
38.17426113,2018/6/22 0:02
38.17502193,2018/6/22 0:04
38.20718235,2018/6/22 0:16
38.01158783,2018/6/22 0:23
38.01322492,2018/6/22 0:24
38.00573551,2018/6/22 0:32
37.98052944,2018/6/22 0:39
37.98796622,2018/6/22 0:56
37.99798576,2018/6/22 1:00
37.99956316,2018/6/22 1:03
38.01500668,2018/6/22 1:06
38.0087702,2018/6/22 1:18
38.00801612,2018/6/22 1:23
38.01631581,2018/6/22 1:25
38.02357977,2018/6/22 1:26
38.01905854,2018/6/22 1:27
