LBMA to Au(T+D),Au(T+D) to LBMA,Dates_x
38.22155272,0.081179539,2018/6/21 14:07
38.22737178,0.082244999,2018/6/21 14:08
38.25539395,0.082163957,2018/6/21 14:10
38.25457519,0.08260504,2018/6/21 14:11
38.25800762,0.082529317,2018/6/21 14:12
38.24664497,0.083878838,2018/6/21 14:13
38.23973764,0.0862263,2018/6/21 14:14
38.23121588,0.086639183,2018/6/21 14:15
38.23456647,0.0878391,2018/6/21 14:16
38.23651879,0.087496285,2018/6/21 14:17
38.24269518,0.089861885,2018/6/21 14:22
38.25942227,0.091144489,2018/6/21 14:25
38.24981236,0.090510148,2018/6/21 14:27
38.23466536,0.088489521,2018/6/21 14:35
38.23882377,0.08901688,2018/6/21 14:36
38.23474268,0.088905561,2018/6/21 14:37
38.22459369,0.088384946,2018/6/21 14:39
38.22842502,0.087794481,2018/6/21 14:40
38.22817472,0.088068685,2018/6/21 14:41
38.22476153,0.088985275,2018/6/21 14:42
38.2170144,0.090659475,2018/6/21 14:46
38.21814353,0.090575302,2018/6/21 14:49
38.22803733,0.091181402,2018/6/21 14:52
38.21387698,0.088984258,2018/6/21 14:53
38.22384658,0.090639945,2018/6/21 14:55
38.2178395,0.089408489,2018/6/21 14:57
38.21080226,0.089100131,2018/6/21 14:58
38.18642881,0.089937297,2018/6/21 14:59
38.16900744,0.090399198,2018/6/21 15:02
38.16427337,0.089657387,2018/6/21 15:03
38.15232577,0.085727708,2018/6/21 15:04
38.15291425,0.08814205,2018/6/21 15:06
38.16771917,0.089134516,2018/6/21 15:08
38.17865353,0.087528427,2018/6/21 15:09
38.16665251,0.084378015,2018/6/21 15:10
38.18502652,0.085513302,2018/6/21 15:16
38.16272379,0.083712588,2018/6/21 15:23
38.17156652,0.088160241,2018/6/21 15:24
38.14742948,0.086616097,2018/6/21 19:59
38.2020886,0.09015012,2018/6/21 20:01
38.21964033,0.089932151,2018/6/21 20:05
38.22438231,0.089621224,2018/6/21 20:08
38.22582947,0.089270867,2018/6/21 20:09
38.22286884,0.089014104,2018/6/21 20:10
38.26412308,0.092976175,2018/6/21 20:11
38.28728301,0.092503233,2018/6/21 20:12
38.28055729,0.091255168,2018/6/21 20:13
38.2479933,0.089143034,2018/6/21 20:16
38.24281669,0.088483769,2018/6/21 20:17
38.24477592,0.089343837,2018/6/21 20:19
38.23207993,0.088180868,2018/6/21 20:20
38.20969837,0.085241398,2018/6/21 20:21
38.20725337,0.087429659,2018/6/21 20:22
38.20434299,0.08799639,2018/6/21 20:24
38.20229281,0.085682283,2018/6/21 20:25
38.2040926,0.086386915,2018/6/21 20:30
38.22605283,0.089293377,2018/6/21 20:32
38.23290654,0.088742877,2018/6/21 20:33
38.21900981,0.08655812,2018/6/21 20:35
38.21002834,0.084898628,2018/6/21 20:36
38.20941613,0.086927743,2018/6/21 20:37
38.19265328,0.084671433,2018/6/21 20:38
